PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
PA_NN_a103,1,28,-0.006,0.038,-0.008,-0.005,0.032,-0.122,0.067,0.189,-0.617,1.312,0.007
VE_NN_a45,1,16,-0.003,0.026,-0.003,-0.004,0.012,-0.056,0.063,0.12,0.526,0.965,0.007
VE_SN_a135,1,16,-0.003,0.026,-0.003,-0.004,0.012,-0.056,0.063,0.12,0.526,0.965,0.007
VE_VS_a60,1,24,0.003,0.067,-0.002,-0.003,0.02,-0.121,0.244,0.364,1.575,4.661,0.014
VE_SU_a36,1,62,-0.003,0.035,-0.002,-0.002,0.029,-0.122,0.091,0.213,-0.52,1.69,0.004
MA_CH_a135,1,13,0,0.041,-0.008,-0.004,0.016,-0.055,0.099,0.154,1.071,0.404,0.011
SU_PL_a150,1,15,-0.008,0.051,-0.013,-0.009,0.043,-0.097,0.094,0.191,0.273,-0.512,0.013
VE_UR_a72,1,15,0.015,0.02,0.02,0.016,0.011,-0.029,0.051,0.081,-0.56,-0.183,0.005
MA_NE_a150,1,14,0.013,0.046,0.001,0.011,0.017,-0.057,0.114,0.17,1.031,0.275,0.012
VE_PA_a60,1,16,0.011,0.022,0.005,0.01,0.027,-0.019,0.055,0.074,0.393,-1.071,0.005
VE_CH_a103,1,16,0.002,0.028,0.006,0.005,0.017,-0.081,0.051,0.132,-1.273,2.454,0.007
MO_ME_a180,1,29,-0.02,0.056,-0.017,-0.017,0.034,-0.189,0.096,0.284,-0.856,1.396,0.01
MO_PA_a60,1,59,0.005,0.055,0.001,0.003,0.04,-0.142,0.171,0.313,0.433,1.019,0.007
CE_NE_a120,1,11,-0.016,0.03,-0.013,-0.016,0.041,-0.057,0.031,0.088,0.072,-1.549,0.009
SU_JU_a60,1,19,-0.017,0.069,-0.006,-0.013,0.024,-0.192,0.093,0.284,-1.022,0.66,0.016
SU_JN_a135,1,10,-0.015,0.026,-0.015,-0.014,0.023,-0.064,0.02,0.084,-0.472,-0.924,0.008
SU_CE_a36,1,21,-0.016,0.054,-0.014,-0.014,0.04,-0.192,0.083,0.274,-1.216,2.958,0.012
ME_JU_a36,1,25,0.03,0.091,0.006,0.02,0.028,-0.192,0.269,0.461,0.932,2.28,0.018
MO_SA_a90,1,50,0.002,0.046,-0.002,-0.001,0.037,-0.118,0.11,0.228,0.336,0.452,0.006
VE_CE_a0,1,16,0.013,0.043,0.015,0.013,0.043,-0.057,0.089,0.146,0.034,-1.097,0.011
MO_UR_a30,1,67,0,0.038,-0.001,-0.001,0.028,-0.098,0.099,0.198,0.251,0.585,0.005
VE_NE_a120,1,17,0.009,0.037,0.006,0.005,0.022,-0.044,0.12,0.163,1.383,2.426,0.009
JU_NE_a144,1,11,-0.027,0.028,-0.03,-0.03,0.031,-0.06,0.035,0.094,0.73,-0.302,0.008
VS_JU_a36,1,12,-0.022,0.035,-0.033,-0.023,0.029,-0.074,0.043,0.117,0.5,-0.877,0.01
MO_JN_a103,1,69,0.003,0.048,0.001,0.001,0.029,-0.127,0.204,0.331,0.907,3.635,0.006
VE_MA_a30,1,13,-0.013,0.025,-0.012,-0.013,0.025,-0.057,0.035,0.091,0.026,-0.876,0.007
MO_PL_a90,1,51,0.001,0.06,-0.002,-0.002,0.026,-0.148,0.204,0.352,0.74,2.537,0.008
MO_SA_a120,1,49,-0.006,0.042,0,-0.001,0.031,-0.155,0.072,0.227,-1.351,2.724,0.006
SU_SA_a120,1,17,0.016,0.055,0.004,0.013,0.028,-0.057,0.145,0.202,0.816,-0.185,0.013
MO_PH_a120,1,40,-0.003,0.037,0.001,-0.001,0.031,-0.091,0.093,0.184,-0.323,0.294,0.006
NN_PL_a144,1,72,-0.009,0.062,-0.008,-0.008,0.043,-0.189,0.213,0.402,-0.035,2.315,0.007
SN_PL_a36,1,72,-0.009,0.062,-0.008,-0.008,0.043,-0.189,0.213,0.402,-0.035,2.315,0.007
VS_PH_a103,1,41,-0.002,0.045,-0.008,-0.002,0.032,-0.169,0.104,0.273,-0.644,3.23,0.007
VS_NE_a180,1,24,0.007,0.049,0.009,0.008,0.047,-0.124,0.11,0.234,-0.386,0.399,0.01
SU_CH_a144,1,19,0,0.033,-0.001,-0.003,0.024,-0.04,0.087,0.127,0.907,0.284,0.008
VS_UR_a135,1,34,-0.005,0.057,-0.005,-0.002,0.041,-0.169,0.104,0.273,-0.701,1.27,0.01
MO_JU_a150,1,46,-0.003,0.043,-0.004,-0.006,0.021,-0.071,0.226,0.297,3.166,15.316,0.006
MA_PL_a150,1,9,-0.002,0.024,0.002,-0.002,0.03,-0.035,0.035,0.07,0.056,-1.564,0.008
SU_PL_a144,1,17,0.003,0.035,-0.005,0,0.034,-0.045,0.087,0.132,0.748,-0.282,0.009
VE_PL_a180,1,8,0.018,0.019,0.02,0.018,0.01,-0.024,0.038,0.062,-1.161,0.278,0.007
VE_SN_a144,1,16,-0.013,0.035,-0.019,-0.014,0.037,-0.067,0.049,0.115,0.165,-1.192,0.009
VE_NN_a36,1,16,-0.013,0.035,-0.019,-0.014,0.037,-0.067,0.049,0.115,0.165,-1.192,0.009
PA_CH_a45,1,33,-0.004,0.039,-0.012,-0.007,0.03,-0.062,0.11,0.172,0.828,0.541,0.007
SU_NN_a0,1,8,-0.018,0.024,-0.006,-0.018,0.009,-0.066,0.002,0.068,-0.894,-0.757,0.008
SU_SN_a180,1,8,-0.018,0.024,-0.006,-0.018,0.009,-0.066,0.002,0.068,-0.894,-0.757,0.008
MA_JN_a135,1,6,-0.023,0.025,-0.027,-0.023,0.023,-0.06,0.014,0.073,0.06,-1.502,0.01
VE_JU_a90,1,14,-0.004,0.024,0.002,-0.004,0.027,-0.041,0.038,0.079,-0.104,-1.405,0.007
MO_MA_a60,1,62,0.003,0.054,0,0.002,0.033,-0.171,0.269,0.439,1.326,8.372,0.007
MO_PA_a36,1,46,0.003,0.07,-0.002,-0.006,0.028,-0.121,0.311,0.431,2.333,7.652,0.01
SU_PA_a103,1,16,0.002,0.045,-0.004,-0.003,0.029,-0.06,0.139,0.199,1.572,2.771,0.011
VE_SA_a150,1,13,-0.012,0.036,-0.001,-0.012,0.022,-0.073,0.056,0.13,-0.099,-0.884,0.01
SU_PH_a120,1,15,0.007,0.049,0.008,0.002,0.027,-0.06,0.141,0.2,1.056,1.168,0.013
PA_NE_a60,1,57,-0.011,0.049,-0.01,-0.011,0.02,-0.192,0.213,0.404,0.67,8.558,0.006
MA_JU_a60,1,17,0.006,0.056,-0.006,-0.002,0.023,-0.06,0.189,0.249,1.955,4.053,0.014
CE_PL_a180,1,5,-0.013,0.041,-0.023,-0.013,0.024,-0.052,0.055,0.107,0.658,-1.385,0.019
JN_JU_a72,1,31,0.018,0.053,-0.001,0.01,0.029,-0.05,0.171,0.221,1.451,1.766,0.009
SU_CH_a150,1,20,0.006,0.035,0.002,0.003,0.031,-0.052,0.087,0.139,0.645,-0.026,0.008
