PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
MA_CH_a180,1,20,0.013,0.035,0.008,0.009,0.03,-0.031,0.129,0.159,1.597,3.349,0.008
MA_UR_a150,1,83,0.004,0.042,0.003,0.005,0.028,-0.169,0.111,0.28,-0.624,3.39,0.005
JN_JU_a30,1,22,0.008,0.054,0.019,0.008,0.026,-0.114,0.117,0.231,-0.152,0.06,0.011
PA_NN_a90,1,66,0.006,0.044,0.005,0.005,0.028,-0.13,0.174,0.304,0.427,3.372,0.005
PA_SN_a90,1,66,0.006,0.044,0.005,0.005,0.028,-0.13,0.174,0.304,0.427,3.372,0.005
JU_CH_a180,1,63,0.004,0.036,0.002,0.004,0.023,-0.114,0.117,0.231,0.208,2.883,0.005
ME_UR_a180,1,29,0.009,0.026,0.007,0.008,0.023,-0.05,0.076,0.126,0.391,0.549,0.005
VE_CH_a180,1,24,0.007,0.037,0.003,0.007,0.018,-0.066,0.129,0.195,0.94,2.919,0.008
JN_CE_a103,1,118,0.007,0.036,0.005,0.007,0.023,-0.114,0.117,0.231,0.195,1.758,0.003
JU_UR_a150,1,80,0.002,0.033,0.002,0.002,0.013,-0.114,0.117,0.231,0.042,4.165,0.004
JN_UR_a180,1,21,0.017,0.045,0.011,0.014,0.031,-0.061,0.117,0.178,0.575,-0.039,0.01
JN_SA_a45,1,30,-0.01,0.069,-0.008,-0.011,0.053,-0.16,0.117,0.277,-0.017,-0.476,0.013
VE_VS_a180,1,14,-0.005,0.034,-0.003,-0.006,0.041,-0.06,0.067,0.128,0.328,-0.728,0.009
MA_NN_a0,1,19,0.007,0.045,0.012,0.01,0.025,-0.114,0.087,0.201,-1.001,1.133,0.01
MA_SN_a180,1,19,0.007,0.045,0.012,0.01,0.025,-0.114,0.087,0.201,-1.001,1.133,0.01
MA_VS_a180,1,25,-0.004,0.037,0.001,-0.002,0.015,-0.114,0.087,0.201,-0.622,2.175,0.007
PA_UR_a103,1,64,-0.005,0.066,-0.002,-0.002,0.024,-0.372,0.182,0.554,-2.211,13.238,0.008
SA_NE_a90,1,170,0.004,0.032,0.002,0.003,0.013,-0.114,0.119,0.234,0.027,3.634,0.002
PA_CH_a72,1,72,0.008,0.042,0.001,0.006,0.021,-0.114,0.182,0.296,0.833,3.316,0.005
SA_PL_a36,1,155,0.002,0.031,0,0.002,0.014,-0.106,0.109,0.215,-0.058,3.107,0.002
PA_NE_a60,1,132,0.002,0.054,0.001,0.005,0.026,-0.372,0.153,0.525,-2.431,16.937,0.005
JN_PH_a60,1,36,0.002,0.032,-0.001,0.002,0.021,-0.064,0.075,0.139,0.147,0.003,0.005
SN_PL_a72,1,48,0.008,0.031,0.004,0.007,0.017,-0.084,0.088,0.172,0.21,1.414,0.004
JN_JU_a36,1,19,0.014,0.028,0.006,0.014,0.017,-0.039,0.075,0.114,0.616,-0.123,0.006
PA_NN_a103,1,66,0.007,0.04,0.006,0.007,0.032,-0.105,0.123,0.229,-0.119,1.003,0.005
NN_SA_a72,1,24,0.009,0.032,0.004,0.007,0.019,-0.042,0.088,0.13,0.605,-0.061,0.007
CE_CH_a36,1,163,0.007,0.027,0.004,0.006,0.014,-0.102,0.127,0.23,0.548,4.57,0.002
VE_JN_a0,1,26,-0.006,0.055,0.002,-0.002,0.024,-0.16,0.098,0.257,-0.835,0.949,0.011
CE_SN_a45,1,194,0.006,0.039,0.003,0.006,0.021,-0.141,0.182,0.323,0.123,3.76,0.003
CE_NN_a135,1,194,0.006,0.039,0.003,0.006,0.021,-0.141,0.182,0.323,0.123,3.76,0.003
PA_SA_a36,1,28,0.007,0.029,0.001,0.005,0.02,-0.042,0.088,0.13,0.959,0.784,0.006
PA_PL_a0,1,64,0.009,0.033,0.001,0.007,0.023,-0.06,0.102,0.162,0.622,0.314,0.004
PA_SN_a72,1,64,0.006,0.058,0.007,0.004,0.05,-0.169,0.239,0.408,0.613,3.303,0.007
MA_UR_a180,1,20,0.014,0.035,0.014,0.014,0.026,-0.047,0.088,0.135,0.058,-0.466,0.008
NN_PH_a90,1,43,0,0.038,-0.002,0.001,0.017,-0.153,0.088,0.241,-1.188,4.994,0.006
SN_PH_a90,1,43,0,0.038,-0.002,0.001,0.017,-0.153,0.088,0.241,-1.188,4.994,0.006
JN_PL_a72,1,77,0.001,0.027,0.002,0.001,0.015,-0.097,0.088,0.185,-0.309,3.403,0.003
PA_UR_a90,1,31,0.015,0.033,0.01,0.013,0.022,-0.042,0.094,0.136,0.601,-0.149,0.006
PA_CH_a60,1,33,0.002,0.035,0.003,0.003,0.037,-0.099,0.072,0.171,-0.34,0.432,0.006
JN_SA_a36,1,82,0,0.036,0.001,0.001,0.012,-0.116,0.117,0.234,-0.319,3.188,0.004
CE_UR_a60,1,91,0.004,0.032,0.005,0.004,0.019,-0.084,0.11,0.194,0.216,1.565,0.003
CE_CH_a30,1,144,0.004,0.031,0.003,0.005,0.018,-0.106,0.106,0.212,-0.411,2.104,0.003
ME_MA_a90,1,68,0,0.036,0.001,0.001,0.02,-0.088,0.11,0.198,-0.159,1.316,0.004
CE_NN_a144,1,59,-0.001,0.032,-0.001,0,0.017,-0.106,0.103,0.209,-0.331,3.236,0.004
CE_SN_a36,1,59,-0.001,0.032,-0.001,0,0.017,-0.106,0.103,0.209,-0.331,3.236,0.004
PA_NE_a45,1,96,0.008,0.062,0.008,0.006,0.038,-0.169,0.252,0.421,0.623,2.589,0.006
SN_SA_a103,1,26,-0.002,0.045,-0.004,-0.001,0.017,-0.153,0.105,0.259,-0.765,3.521,0.009
SU_MA_a72,1,61,0.002,0.041,0,0.002,0.017,-0.16,0.115,0.275,-0.448,3.786,0.005
JN_NE_a120,1,72,0.005,0.028,0.001,0.004,0.01,-0.153,0.077,0.23,-1.86,13.301,0.003
JN_JU_a45,1,82,0.004,0.035,0.001,0.004,0.01,-0.153,0.109,0.262,-0.828,6.104,0.004
PA_NN_a120,1,41,0.004,0.033,0.001,0.004,0.023,-0.078,0.084,0.162,0.115,0.278,0.005
PA_SN_a60,1,41,0.004,0.033,0.001,0.004,0.023,-0.078,0.084,0.162,0.115,0.278,0.005
CE_SA_a72,1,26,-0.002,0.043,-0.001,-0.002,0.008,-0.153,0.105,0.259,-0.811,4.927,0.008
JU_NN_a0,1,59,0,0.046,-0.002,0,0.025,-0.153,0.109,0.262,-0.273,1.669,0.006
