Symbol	Date	SULON	SULAT	SUDEC	SUSP	MOLON	MOLAT	MODEC	MOSP	MELON	MELAT	MEDEC	MESP	VELON	VELAT	VEDEC	VESP	MALON	MALAT	MADEC	MASP	JULON	JULAT	JUDEC	JUSP	SALON	SALAT	SADEC	SASP	URLON	URLAT	URDEC	URSP	NELON	NELAT	NEDEC	NESP	PLLON	PLLAT	PLDEC	PLSP	NNLON	NNLAT	NNDEC	NNSP	SNLON	SNLAT	SNDEC	SNSP
JBHT	1983-11-22 10:00:00	239.73	0	-20.1	1.01	86.42	0.96	24.36	13.903	252.6	-1.89	-24.18	1.509	194.11	1.83	-3.88	1.104	182.46	1.52	0.41	0.586	257.03	0.38	-22.43	0.221	219.9	2.2	-12.7	0.116	248.77	0.06	-21.71	0.061	267.89	1.17	-22.25	0.034	210.64	16.44	3.74	0.036	76.61	0	22.77	-0.053	256.61	0	-22.77	-0.053
JNJ	1944-09-25 10:00:00	182.41	0	-0.96	0.981	273.87	1.84	-21.55	13.187	165	1.36	7.17	1.281	206.76	0.41	-9.94	1.23	198.02	0.42	-6.68	0.663	163.16	0.96	7.51	0.211	100.09	-0.82	22.24	0.05	73.12	-0.05	22.33	-0.006	183.93	1.37	-0.3	0.037	129.79	5.65	23.24	0.019	113.96	0	21.32	-0.053	293.96	0	-21.32	-0.053
JPM	1969-04-01 10:00:00	11.71	0	4.63	0.986	177.18	0.29	1.39	13.364	4.21	-1.76	0.06	1.93	22.81	7.89	16.19	-0.538	253.11	0.61	-21.77	0.263	179.78	1.58	1.53	-0.124	26.42	-2.25	8.1	0.125	181.55	0.78	0.1	-0.043	238.44	1.75	-18.11	-0.016	173.31	15.96	17.27	-0.025	359.81	0	-0.07	-0.053	179.81	0	0.07	-0.053
KO	1924-09-26 10:00:00	183.19	0	-1.27	0.982	154.83	1.11	10.77	13.113	165.38	0.94	6.63	0.891	137.98	-0.93	14.57	1.068	325.45	-4.78	-17.54	0.056	253.73	0.34	-22.12	0.137	211.36	2.24	-9.85	0.111	348.98	-0.81	-5.11	-0.038	141.65	0.28	14.56	0.029	103.5	-2.18	20.59	0.007	140.74	0	14.59	-0.053	320.74	0	-14.59	-0.053
LUV	1977-06-27 10:00:00	95.79	0	23.31	0.953	225.82	2.09	-14.57	14.629	92.8	0.94	24.35	2.182	50.54	-2.91	15.08	1.026	45.76	-0.87	15.73	0.722	78.99	-0.46	22.53	0.227	134.71	0.98	17.36	0.109	217.84	0.44	-13.71	-0.016	254.19	1.53	-20.99	-0.025	191.41	17.1	11.22	0.003	200.48	0	-8	-0.053	20.48	0	8	-0.053
MCD	1966-07-05 10:00:00	103.09	0	22.8	0.953	314.64	-5.04	-21.26	12.115	128.17	-0.82	17.44	0.676	70.75	-1.49	20.58	1.186	86.23	0.5	23.89	0.681	103.09	0.06	22.86	0.213	359.66	-2.23	-2.18	0.01	166.28	0.75	6.11	0.036	229.59	1.78	-15.92	-0.013	166.2	14.46	18.73	0.019	52.82	0	18.48	-0.053	232.82	0	-18.48	-0.053
MRK	1946-05-15 10:00:00	54.12	0	18.81	0.964	228.29	2.82	-14.57	11.85	36.92	-1.99	11.95	1.806	79.63	1.07	24.11	1.212	130.78	1.73	19.2	0.503	198.79	1.5	-5.98	-0.085	110.66	0.12	21.97	0.09	76.14	0.05	22.77	0.056	186.12	1.51	-1.04	-0.016	129.56	6.4	24.03	0.01	82.35	0	23.23	-0.053	262.35	0	-23.23	-0.053
MSFT	1986-03-13 09:30:00	352.72	0	-2.89	0.998	27.18	-0.29	10.2	12.176	358.72	3.62	2.81	-0.773	5.55	-1.19	1.11	1.243	262.38	0.27	-22.95	0.539	334.99	-0.86	-10.48	0.235	249.68	1.94	-19.99	0.01	262.29	-0.07	-23.29	0.012	275.64	1.08	-22.25	0.014	217.06	16.95	2.19	-0.018	32.03	0	12.18	-0.053	212.03	0	-12.18	-0.053
NI	1962-12-19 10:00:00	267.23	0	-23.41	1.018	184.61	4.7	2.48	11.863	280.55	-2.23	-25.25	1.554	226.92	3.18	-13.84	0.541	144.52	3.14	16.3	0.083	336.97	-1.15	-10.02	0.152	308.64	-0.76	-18.83	0.099	155.27	0.77	10.3	-0.008	224.74	1.73	-14.61	0.03	162.16	13.53	19.46	-0.003	121.34	0	19.86	-0.053	301.34	0	-19.86	-0.053
^GSPC	1792-05-17 08:52:00	57.24	0	19.56	0.962	19.21	-1.49	6.14	12.639	53.81	-1.58	17.22	-0.563	35.45	-1.49	11.95	1.217	168.73	1.26	5.62	0.227	202.95	1.46	-7.57	-0.088	26.37	-2.29	8.06	0.115	135.15	0.7	16.97	0.023	207.71	1.81	-8.98	-0.023	323.52	-9.94	-23.05	0.003	180.69	0	-0.28	-0.053	0.69	0	0.28	-0.053
