Date,pID,Lon,CM
2009-02-07,NN,308.98,beCap
2009-02-07,SN,128.98,xiPup
2009-02-07,CE,161,chUMa
2009-02-07,CH,320.95,epAqr
2009-02-07,JN,306.95,beCap
2009-02-07,PA,67.07,16Tau
2009-02-07,PH,252.58,siSco
2009-02-07,VS,38.14,beAri
2009-02-08,SU,319.84,epAqr
2009-02-08,MO,124.19,muGem
2009-02-08,ME,294.52,muLyr
2009-02-08,VE,4.21,alPeg
2009-02-08,MA,302.95,muLyr
2009-02-08,JU,307.96,beCap
2009-02-08,SA,170.47,chUMa
2009-02-08,UR,350.81,alAqr
2009-02-08,NE,323.78,gaEqu
2009-02-08,PL,272.51,ga-2Sgr
2009-02-08,NN,308.93,beCap
2009-02-08,SN,128.93,xiPup
2009-02-08,CE,160.82,chUMa
2009-02-08,CH,321.03,epAqr
2009-02-08,JN,307.36,beCap
2009-02-08,PA,67.31,16Tau
2009-02-08,PH,252.61,siSco
2009-02-08,VS,38.43,beAri
2009-02-09,SU,320.85,epAqr
2009-02-09,MO,138.95,laDra
2009-02-09,ME,295.26,muLyr
2009-02-09,VE,4.94,alPeg
2009-02-09,MA,303.73,muLyr
2009-02-09,JU,308.2,beCap
2009-02-09,SA,170.41,chUMa
2009-02-09,UR,350.86,alAqr
2009-02-09,NE,323.82,gaEqu
2009-02-09,PL,272.54,ga-2Sgr
2009-02-09,NN,308.87,beCap
2009-02-09,SN,128.87,xiPup
2009-02-09,CE,160.63,chUMa
2009-02-09,CH,321.1,epAqr
2009-02-09,JN,307.77,beCap
2009-02-09,PA,67.56,16Tau
2009-02-09,PH,252.63,siSco
2009-02-09,VS,38.72,beAri
2009-02-10,SU,321.87,epAqr
2009-02-10,MO,153.52,alPyx
2009-02-10,ME,296.06,muLyr
2009-02-10,VE,5.66,alPeg
2009-02-10,MA,304.51,beCap
2009-02-10,JU,308.44,beCap
2009-02-10,SA,170.35,chUMa
2009-02-10,UR,350.91,alAqr
2009-02-10,NE,323.86,gaEqu
2009-02-10,PL,272.56,ga-2Sgr
2009-02-10,NN,308.82,beCap
2009-02-10,SN,128.82,xiPup
2009-02-10,CE,160.43,chUMa
2009-02-10,CH,321.17,epAqr
2009-02-10,JN,308.19,beCap
2009-02-10,PA,67.83,16Tau
2009-02-10,PH,252.66,siSco
2009-02-10,VS,39.01,beAri
2009-02-11,SU,322.88,epAqr
2009-02-11,MO,167.79,chUMa
2009-02-11,ME,296.93,muLyr
2009-02-11,VE,6.37,alPeg
2009-02-11,MA,305.28,beCap
2009-02-11,JU,308.67,beCap
2009-02-11,SA,170.28,chUMa
2009-02-11,UR,350.96,alAqr
2009-02-11,NE,323.9,gaEqu
2009-02-11,PL,272.59,ga-2Sgr
2009-02-11,NN,308.77,beCap
2009-02-11,SN,128.77,xiPup
2009-02-11,CE,160.23,chUMa
2009-02-11,CH,321.25,epAqr
2009-02-11,JN,308.6,beCap
2009-02-11,PA,68.1,16Tau
2009-02-11,PH,252.68,siSco
2009-02-11,VS,39.31,beAri
2009-02-12,SU,323.89,gaEqu
2009-02-12,MO,181.67,gaCom
2009-02-12,ME,297.84,muLyr
2009-02-12,VE,7.05,alPeg
2009-02-12,MA,306.06,beCap
2009-02-12,JU,308.9,beCap
2009-02-12,SA,170.22,chUMa
2009-02-12,UR,351.02,alAqr
2009-02-12,NE,323.94,gaEqu
2009-02-12,PL,272.62,ga-2Sgr
2009-02-12,NN,308.71,beCap
2009-02-12,SN,128.71,xiPup
2009-02-12,CE,160.03,chUMa
2009-02-12,CH,321.32,epAqr
2009-02-12,JN,309.01,beCap
2009-02-12,PA,68.38,16Tau
2009-02-12,PH,252.71,siSco
2009-02-12,VS,39.61,beAri
2009-02-13,SU,324.9,gaEqu
2009-02-13,MO,195.14,gaCrv
2009-02-13,ME,298.81,muLyr
2009-02-13,VE,7.71,alPeg
2009-02-13,MA,306.84,beCap
2009-02-13,JU,309.13,beCap
2009-02-13,SA,170.15,chUMa
2009-02-13,UR,351.07,alAqr
2009-02-13,NE,323.97,gaEqu
2009-02-13,PL,272.64,ga-2Sgr
2009-02-13,NN,308.66,beCap
2009-02-13,SN,128.66,xiPup
2009-02-13,CE,159.82,chUMa
2009-02-13,CH,321.39,epAqr
2009-02-13,JN,309.42,beCap
2009-02-13,PA,68.66,epTau
2009-02-13,PH,252.73,siSco
2009-02-13,VS,39.91,beAri
2009-02-14,SU,325.91,gaEqu
2009-02-14,MO,208.2,alVir
2009-02-14,ME,299.82,muLyr
2009-02-14,VE,8.36,alPeg
2009-02-14,MA,307.61,beCap
2009-02-14,JU,309.37,beCap
2009-02-14,SA,170.08,chUMa
2009-02-14,UR,351.12,alAqr
2009-02-14,NE,324.01,gaEqu
2009-02-14,PL,272.67,ga-2Sgr
2009-02-14,NN,308.61,beCap
2009-02-14,SN,128.61,xiPup
2009-02-14,CE,159.61,chUMa
2009-02-14,CH,321.47,epAqr
2009-02-14,JN,309.83,beCap
2009-02-14,PA,68.95,epTau
2009-02-14,PH,252.75,siSco
2009-02-14,VS,40.21,beAri
2009-02-15,SU,326.92,gaEqu
2009-02-15,MO,220.87,laCen
2009-02-15,ME,300.88,muLyr
2009-02-15,VE,8.98,alPeg
2009-02-15,MA,308.39,beCap
2009-02-15,JU,309.6,beCap
2009-02-15,SA,170.01,chUMa
2009-02-15,UR,351.18,alAqr
2009-02-15,NE,324.05,gaEqu
2009-02-15,PL,272.69,ga-2Sgr
2009-02-15,NN,308.55,beCap
