PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
MA_JN_a180,1,55,0.002,0.023,0.002,0,0.018,-0.042,0.068,0.11,0.584,0.777,0.003
VS_NN_a120,1,130,0.003,0.026,0.004,0.004,0.017,-0.104,0.115,0.219,-0.062,4.993,0.002
VS_SN_a60,1,130,0.003,0.026,0.004,0.004,0.017,-0.104,0.115,0.219,-0.062,4.993,0.002
MA_VS_a36,1,139,0.003,0.028,0.001,0.001,0.014,-0.054,0.158,0.212,2.292,9.747,0.002
VS_UR_a90,1,134,0.003,0.019,0.004,0.003,0.011,-0.081,0.065,0.146,-0.439,3.435,0.002
CE_PL_a120,1,140,0.001,0.029,-0.002,0,0.021,-0.124,0.077,0.201,-0.508,3.335,0.002
MA_CH_a135,1,143,0.001,0.026,0.001,0.001,0.014,-0.122,0.108,0.23,-0.035,5.91,0.002
ME_JN_a180,1,56,0.006,0.031,0,0.003,0.013,-0.061,0.14,0.202,1.607,4.826,0.004
SU_SA_a30,1,165,0.002,0.031,0,0,0.015,-0.073,0.233,0.306,3.156,20.589,0.002
VE_NN_a144,1,151,0.004,0.032,-0.001,0.001,0.015,-0.074,0.235,0.308,2.785,17.274,0.003
VE_SN_a36,1,152,0.004,0.032,0,0.001,0.015,-0.074,0.235,0.308,2.789,17.386,0.003
SU_PH_a150,1,148,0,0.029,-0.001,-0.002,0.015,-0.064,0.23,0.294,3.538,27.016,0.002
ME_MA_a0,1,116,0,0.028,-0.001,0,0.015,-0.124,0.14,0.263,0.49,7.879,0.003
ME_CH_a135,1,120,0.001,0.023,0,0.001,0.017,-0.119,0.067,0.185,-0.604,5.441,0.002
PA_PH_a135,1,115,0.003,0.017,0.003,0.003,0.014,-0.051,0.052,0.103,-0.086,0.877,0.002
JU_NN_a180,1,43,0,0.017,-0.002,-0.001,0.01,-0.051,0.052,0.103,0.495,2.68,0.003
