PredictFile,Symbol,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,AccSD2m,PVal6m,PVal3m,PVal2m,PVal1m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m,PrevSD2m,Rank
AUDUSD=X-predict-ensamble-kknn-MAABBAABCACCCLH.csv,AUDUSD=X,2021-07-07T16:29:55.659222Z,0,0.512,0.538,0.58,0.636,0.105,0.092,0.08,0.807,0.853,0.851,0.758,0.623,0.51,0.492,0.318,0.067,0.177,0.246,0.104863333333333
AUDUSD=X-predict-ensamble-gakknn-VEE.csv,AUDUSD=X,2021-07-06T18:29:02.552764Z,1,0.491,0.447,0.444,0.364,0.066,0.08,0.113,0.774,0.812,0.789,0.991,0.545,0.507,0.534,0.591,0.075,0.073,0.081,0.104110666666667
AUDUSD=X-predict-ensamble-gakknn-VA.csv,AUDUSD=X,2021-07-06T18:29:02.188539Z,1,0.498,0.507,0.511,0.545,0.088,0.035,0.049,0.797,0.866,0.869,0.744,0.572,0.571,0.562,0.409,0.095,0.154,0.216,0.102582666666667
AUDUSD=X-predict-ensamble-gakknn-UADB.csv,AUDUSD=X,2021-07-06T18:29:02.142963Z,1,0.471,0.447,0.466,0.409,0.105,0.066,0.081,0.778,0.885,0.84,0.933,0.524,0.478,0.513,0.455,0.067,0.084,0.083,0.102416
AUDUSD=X-predict-ensamble-gakknn-VDIBCFE.csv,AUDUSD=X,2021-07-06T18:29:02.469742Z,1,0.486,0.538,0.511,0.545,0.088,0.058,0.049,0.801,0.693,0.744,0.744,0.55,0.569,0.557,0.591,0.089,0.039,0.047,0.101821666666667
AUDUSD=X-predict-ensamble-gakknn-NAABCAAA.csv,AUDUSD=X,2021-07-07T16:29:55.542679Z,0,0.507,0.555,0.605,0.591,0.069,0.088,0.02,0.817,0.679,0.589,0.418,0.504,0.556,0.606,0.545,0.113,0.106,0.086,0.101687
AUDUSD=X-predict-ensamble-gakknn-UADBB.csv,AUDUSD=X,2021-07-06T18:29:02.153122Z,1,0.529,0.456,0.384,0.318,0.088,0.141,0.093,0.779,0.94,0.967,0.991,0.584,0.615,0.573,0.545,0.106,0.078,0.039,0.100849666666667
AUDUSD=X-predict-ensamble-gakknn-VACGC.csv,AUDUSD=X,2021-07-06T18:29:02.310512Z,1,0.509,0.54,0.537,0.455,0.075,0.082,0.116,0.811,0.758,0.705,0.992,0.573,0.63,0.627,0.682,0.103,0.055,0.078,0.099918
AUDUSD=X-predict-ensamble-gakknn-VGI.csv,AUDUSD=X,2021-07-06T18:29:02.659519Z,1,0.511,0.492,0.511,0.545,0.172,0.047,0.049,0.803,0.756,0.705,0.416,0.541,0.587,0.607,0.5,0.177,0.113,0.152,0.0994193333333333
AUDUSD=X-predict-ensamble-gakknn-VACGA.csv,AUDUSD=X,2021-07-06T18:29:02.230010Z,1,0.541,0.615,0.536,0.5,0.142,0.141,0.051,0.825,0.649,0.666,0.74,0.666,0.582,0.487,0.545,0.132,0.175,0.083,0.0987
AUDUSD=X-predict-ensamble-gakknn-NAABCAABD.csv,AUDUSD=X,2021-07-07T16:29:55.564418Z,0,0.497,0.605,0.658,0.684,0.125,0.095,0.037,0.832,0.49,0.246,0.246,0.605,0.526,0.447,0.421,0.155,0.138,0.037,0.09856
AUDUSD=X-predict-ensamble-gakknn-UADC.csv,AUDUSD=X,2021-07-06T18:29:02.168308Z,1,0.489,0.567,0.623,0.818,0.111,0.218,0.275,0.825,0.613,0.432,0.002,0.485,0.538,0.488,0.5,0.14,0.086,0.017,0.0979416666666667
AUDUSD=X-predict-ensamble-gakknn-VDN.csv,AUDUSD=X,2021-07-07T16:29:55.600884Z,0,0.523,0.538,0.534,0.591,0.026,0.058,0.081,0.816,0.666,0.706,0.418,0.607,0.602,0.63,0.545,0.157,0.097,0.119,0.0978266666666667
AUDUSD=X-predict-ensamble-gakknn-VGF.csv,AUDUSD=X,2021-07-06T18:29:02.646484Z,1,0.5,0.554,0.604,0.636,0.079,0.092,0.046,0.823,0.662,0.505,0.42,0.551,0.552,0.51,0.591,0.117,0.109,0.115,0.097822
AUDUSD=X-predict-ensamble-gakknn-VACGG.csv,AUDUSD=X,2021-07-06T18:29:02.325513Z,1,0.491,0.43,0.395,0.409,0.109,0.062,0.02,0.779,0.969,0.964,0.991,0.562,0.614,0.58,0.636,0.093,0.081,0.08,0.0969453333333333
AUDUSD=X-predict-ensamble-gakknn-VACC.csv,AUDUSD=X,2021-07-06T18:29:02.210615Z,1,0.546,0.46,0.395,0.409,0.123,0.114,0.02,0.796,0.935,0.966,0.933,0.692,0.647,0.63,0.545,0.079,0.09,0.119,0.095268
AUDUSD=X-predict-ensamble-gakknn-UAD.csv,AUDUSD=X,2021-07-06T18:29:02.118650Z,1,0.458,0.537,0.464,0.455,0.176,0.127,0.014,0.805,0.7,0.747,0.738,0.58,0.553,0.487,0.5,0.073,0.115,0.019,0.094835
AUDUSD=X-predict-ensamble-gakknn-UADCA.csv,AUDUSD=X,2021-07-06T18:29:02.174037Z,1,0.493,0.478,0.49,0.409,0.069,0.084,0.115,0.806,0.755,0.703,0.991,0.545,0.478,0.444,0.364,0.098,0.099,0.113,0.094478
AUDUSD=X-predict-ensamble-gakknn-UADBC.csv,AUDUSD=X,2021-07-06T18:29:02.159061Z,1,0.487,0.447,0.488,0.5,0.108,0.073,0.017,0.801,0.868,0.802,0.74,0.461,0.385,0.442,0.455,0.153,0.098,0.018,0.094326
AUDUSD=X-predict-ensamble-kknn-MAABBAABCACCCLIC.csv,AUDUSD=X,2021-07-07T16:29:55.673080Z,0,0.491,0.552,0.555,0.682,0.075,0.127,0.179,0.823,0.876,0.881,0.769,0.565,0.525,0.47,0.273,0.099,0.219,0.279,0.094282
AUDUSD=X-predict-ensamble-gakknn-VACGBFCB.csv,AUDUSD=X,2021-07-06T18:29:02.257111Z,1,0.514,0.493,0.489,0.455,0.089,0.035,0.049,0.812,0.887,0.841,0.738,0.584,0.616,0.583,0.5,0.112,0.101,0.118,0.0937493333333333
AUDUSD=X-predict-ensamble-gakknn-VACGBFCE.csv,AUDUSD=X,2021-07-06T18:29:02.268520Z,1,0.491,0.538,0.556,0.636,0.062,0.086,0.113,0.823,0.623,0.642,0.42,0.511,0.506,0.51,0.591,0.107,0.081,0.115,0.093515
AUDUSD=X-predict-ensamble-gakknn-VEA.csv,AUDUSD=X,2021-07-06T18:29:02.533629Z,1,0.454,0.479,0.446,0.273,0.114,0.182,0.245,0.797,0.615,0.628,0.999,0.627,0.538,0.534,0.591,0.117,0.058,0.081,0.0933123333333333
AUDUSD=X-predict-ensamble-gakknn-VDIBCE.csv,AUDUSD=X,2021-07-06T18:29:02.446517Z,1,0.499,0.521,0.509,0.636,0.064,0.129,0.181,0.817,0.754,0.698,0.42,0.553,0.552,0.51,0.591,0.111,0.109,0.115,0.093269
AUDUSD=X-predict-ensamble-gakknn-VDIBCFF.csv,AUDUSD=X,2021-07-06T18:29:02.473745Z,1,0.57,0.478,0.444,0.364,0.055,0.099,0.113,0.813,0.959,0.939,0.933,0.671,0.662,0.583,0.5,0.106,0.159,0.118,0.0930013333333334
AUDUSD=X-predict-ensamble-gakknn-VGH.csv,AUDUSD=X,2021-07-06T18:29:02.655882Z,1,0.476,0.553,0.58,0.636,0.07,0.073,0.08,0.83,0.57,0.562,0.143,0.45,0.429,0.393,0.5,0.183,0.124,0.152,0.0911766666666667
AUDUSD=X-predict-ensamble-gakknn-VDIA.csv,AUDUSD=X,2021-07-06T18:29:02.406651Z,1,0.469,0.461,0.419,0.409,0.063,0.074,0.014,0.798,0.819,0.935,0.933,0.536,0.554,0.558,0.545,0.072,0.015,0.018,0.0908326666666667
AUDUSD=X-predict-ensamble-gakknn-VDIC.csv,AUDUSD=X,2021-07-06T18:29:02.477565Z,1,0.516,0.539,0.581,0.591,0.066,0.074,0.014,0.837,0.787,0.751,0.75,0.432,0.479,0.491,0.364,0.108,0.129,0.181,0.0888893333333333
AUDUSD=X-predict-ensamble-gakknn-VGE.csv,AUDUSD=X,2021-07-06T18:29:02.640970Z,1,0.487,0.431,0.465,0.455,0.095,0.06,0.015,0.809,0.867,0.801,0.738,0.6,0.522,0.464,0.5,0.125,0.106,0.051,0.088051
AUDUSD=X-predict-ensamble-gakknn-VC.csv,AUDUSD=X,2021-07-06T18:29:02.351947Z,1,0.451,0.402,0.421,0.318,0.104,0.108,0.145,0.798,0.859,0.789,0.991,0.598,0.553,0.465,0.455,0.111,0.152,0.015,0.0857826666666667
AUDUSD=X-predict-ensamble-gakknn-VDF.csv,AUDUSD=X,2021-07-06T18:29:02.395208Z,1,0.508,0.462,0.443,0.409,0.103,0.047,0.047,0.82,0.97,0.966,0.991,0.667,0.646,0.628,0.636,0.085,0.032,0.012,0.08478
AUDUSD=X-predict-ensamble-gakknn-VCC.csv,AUDUSD=X,2021-07-06T18:29:02.363341Z,1,0.446,0.46,0.418,0.455,0.086,0.082,0.052,0.809,0.819,0.936,0.934,0.56,0.553,0.557,0.591,0.084,0.034,0.047,0.0842946666666667
AUDUSD=X-predict-ensamble-gakknn-VDIBCB.csv,AUDUSD=X,2021-07-06T18:29:02.434659Z,1,0.537,0.508,0.398,0.273,0.114,0.228,0.178,0.825,0.734,0.972,1,0.686,0.692,0.72,0.773,0.115,0.072,0.075,0.084175
AUDUSD=X-predict-ensamble-kknn-MAABBAABCACCA.csv,AUDUSD=X,2021-07-07T16:29:55.604143Z,0,0.487,0.445,0.463,0.545,0.108,0.088,0.116,0.819,0.964,0.959,0.942,0.538,0.446,0.373,0.318,0.108,0.137,0.078,0.084165
AUDUSD=X-predict-ensamble-gakknn-VDG.csv,AUDUSD=X,2021-07-06T18:29:02.398961Z,1,0.482,0.551,0.53,0.727,0.104,0.2,0.279,0.839,0.568,0.557,0.138,0.598,0.492,0.443,0.409,0.125,0.092,0.047,0.083881
AUDUSD=X-predict-ensamble-gakknn-VDJ.csv,AUDUSD=X,2021-07-07T16:29:55.587079Z,0,0.484,0.462,0.374,0.273,0.1,0.182,0.144,0.812,0.779,0.872,0.999,0.586,0.523,0.466,0.409,0.057,0.114,0.081,0.08272
AUDUSD=X-predict-ensamble-gakknn-VACH.csv,AUDUSD=X,2021-07-06T18:29:02.332520Z,1,0.499,0.414,0.371,0.409,0.087,0.083,0.054,0.807,0.99,0.996,0.991,0.63,0.693,0.699,0.636,0.083,0.064,0.089,0.082604
AUDUSD=X-predict-ensamble-gakknn-SAG.csv,AUDUSD=X,2021-07-06T18:29:02.068568Z,1,0.444,0.582,0.51,0.591,0.175,0.15,0.115,0.839,0.629,0.64,0.418,0.485,0.553,0.465,0.455,0.145,0.152,0.015,0.082432
AUDUSD=X-predict-ensamble-gakknn-SAD.csv,AUDUSD=X,2021-07-06T18:29:02.057076Z,1,0.491,0.523,0.535,0.545,0.05,0.023,0.015,0.848,0.916,0.943,0.942,0.518,0.646,0.674,0.682,0.121,0.049,0.011,0.0784826666666667
AUDUSD=X-predict-ensamble-gakknn-VGG.csv,AUDUSD=X,2021-07-06T18:29:02.651920Z,1,0.529,0.537,0.532,0.636,0.076,0.104,0.147,0.855,0.569,0.56,0.143,0.631,0.475,0.44,0.5,0.15,0.085,0.084,0.0772366666666667
AUDUSD=X-predict-ensamble-gakknn-VDIE.csv,AUDUSD=X,2021-07-06T18:29:02.520544Z,1,0.461,0.568,0.556,0.636,0.09,0.083,0.113,0.854,0.698,0.751,0.758,0.535,0.478,0.421,0.318,0.105,0.142,0.145,0.0771366666666667
AUDUSD=X-predict-ensamble-gakknn-SA.csv,AUDUSD=X,2021-07-06T18:29:02.040711Z,1,0.505,0.509,0.513,0.455,0.078,0.059,0.083,0.85,0.909,0.934,0.992,0.467,0.535,0.508,0.682,0.113,0.181,0.246,0.07635
AUDUSD=X-predict-ensamble-gakknn-VACB.csv,AUDUSD=X,2021-07-06T18:29:02.207094Z,1,0.489,0.4,0.372,0.364,0.072,0.048,0.012,0.819,0.93,0.966,0.933,0.569,0.556,0.607,0.5,0.107,0.139,0.152,0.0760803333333334
AUDUSD=X-predict-ensamble-gakknn-VDIDA.csv,AUDUSD=X,2021-07-06T18:29:02.485177Z,1,0.448,0.431,0.487,0.545,0.089,0.114,0.083,0.833,0.912,0.869,0.744,0.533,0.556,0.629,0.591,0.087,0.132,0.054,0.0760406666666667
AUDUSD=X-predict-ensamble-gakknn-VDIBB.csv,AUDUSD=X,2021-07-06T18:29:02.420357Z,1,0.528,0.463,0.513,0.455,0.114,0.104,0.083,0.85,0.862,0.807,0.738,0.55,0.429,0.417,0.5,0.155,0.086,0.118,0.0752
AUDUSD=X-predict-ensamble-gakknn-VDIBCD.csv,AUDUSD=X,2021-07-06T18:29:02.442777Z,1,0.496,0.554,0.468,0.364,0.158,0.182,0.147,0.853,0.868,0.999,1,0.603,0.77,0.791,0.773,0.201,0.041,0.026,0.074382
AUDUSD=X-predict-ensamble-kknn-MAABBAABCACCCB.csv,AUDUSD=X,2021-07-07T16:29:55.614255Z,0,0.444,0.478,0.536,0.5,0.1,0.106,0.051,0.85,0.822,0.746,0.74,0.513,0.57,0.582,0.545,0.102,0.042,0.052,0.0729
AUDUSD=X-predict-ensamble-gakknn-VCB.csv,AUDUSD=X,2021-07-06T18:29:02.359675Z,1,0.476,0.506,0.464,0.5,0.076,0.081,0.051,0.851,0.929,0.957,0.937,0.497,0.475,0.372,0.364,0.117,0.179,0.012,0.071818
AUDUSD=X-predict-ensamble-gakknn-VFD.csv,AUDUSD=X,2021-07-06T18:29:02.578261Z,1,0.558,0.448,0.399,0.227,0.092,0.192,0.243,0.847,0.988,0.992,0.999,0.381,0.322,0.346,0.455,0.174,0.116,0.153,0.071655
AUDUSD=X-predict-ensamble-kknn-MAABBAABCACCCLG.csv,AUDUSD=X,2021-07-07T16:29:55.655491Z,0,0.471,0.553,0.58,0.636,0.07,0.073,0.08,0.867,0.893,0.851,0.758,0.598,0.556,0.492,0.318,0.089,0.206,0.246,0.0711106666666667
AUDUSD=X-predict-ensamble-gakknn-VDIBCFC.csv,AUDUSD=X,2021-07-06T18:29:02.461668Z,1,0.505,0.539,0.536,0.5,0.1,0.036,0.051,0.865,0.859,0.995,0.994,0.688,0.694,0.768,0.727,0.113,0.135,0.058,0.0711
AUDUSD=X-predict-ensamble-gakknn-VACGBG.csv,AUDUSD=X,2021-07-06T18:29:02.303340Z,1,0.447,0.522,0.579,0.682,0.083,0.142,0.145,0.863,0.668,0.503,0.142,0.542,0.522,0.442,0.455,0.124,0.139,0.018,0.070692
