PredictFile,Created,ProdDays,Acc6m,Acc3m,Acc2m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev2m,Prev1m,PrevSD6m,PrevSD3m
ADA-USD-predict-ensamble-gakknn-MFJ.csv,2020-11-22T18:53:09.120372Z,10,0.711,0.559,0.589,0.5,0.163,0.102,0.515,0.253,0.246,0.267,0.217,0.024
ADA-USD-predict-ensamble-gakknn-MFK.csv,2020-11-22T20:43:57.450737Z,10,0.728,0.472,0.392,0.3,0.144,0.167,0.575,0.405,0.374,0.2,0.107,0.182
ADA-USD-predict-ensamble-gakknn-MFL.csv,2020-11-23T08:29:51.855838Z,9,0.717,0.44,0.377,0.367,0.202,0.11,0.585,0.37,0.422,0.133,0.17,0.302
ADA-USD-predict-ensamble-gakknn-MFM.csv,2020-11-23T09:54:21.468703Z,9,0.685,0.441,0.361,0.367,0.186,0.138,0.641,0.504,0.505,0.333,0.084,0.172
ADA-USD-predict-ensamble-gakknn-MFN.csv,2020-11-23T11:33:46.335459Z,9,0.674,0.462,0.444,0.5,0.204,0.065,0.522,0.351,0.294,0.2,0.138,0.137
ADA-USD-predict-ensamble-gakknn-MFO.csv,2020-11-23T13:25:57.167819Z,9,0.734,0.495,0.426,0.4,0.178,0.123,0.635,0.537,0.505,0.3,0.068,0.212
ADA-USD-predict-ensamble-gakknn-MFP.csv,2020-11-23T15:16:56.161232Z,9,0.679,0.386,0.312,0.367,0.249,0.139,0.547,0.383,0.458,0.4,0.171,0.142
ADA-USD-predict-ensamble-gakknn-MFQ.csv,2020-11-23T15:53:58.493334Z,9,0.75,0.56,0.49,0.4,0.119,0.151,0.553,0.382,0.407,0.233,0.147,0.179
ADA-USD-predict-ensamble-gakknn-MFR.csv,2020-11-23T17:39:38.208436Z,9,0.754,0.549,0.557,0.533,0.161,0.027,0.449,0.285,0.344,0.3,0.168,0.111
ADA-USD-predict-ensamble-gakknn-MFS.csv,2020-11-23T19:40:22.075838Z,9,0.745,0.539,0.409,0.333,0.159,0.238,0.58,0.427,0.423,0.233,0.109,0.19
ADA-USD-predict-ensamble-gakknn-MFT.csv,2020-11-24T10:48:13.159006Z,8,0.706,0.45,0.425,0.333,0.157,0.101,0.574,0.314,0.404,0.033,0.234,0.402
ADA-USD-predict-ensamble-gakknn-MFU.csv,2020-11-24T13:31:34.169812Z,8,0.707,0.593,0.473,0.333,0.079,0.251,0.64,0.392,0.389,0.1,0.135,0.289
ADA-USD-predict-ensamble-gakknn-MFV.csv,2020-11-24T15:14:02.040637Z,8,0.767,0.605,0.507,0.433,0.093,0.185,0.548,0.428,0.391,0.267,0.057,0.14
ADA-USD-predict-ensamble-gakknn-MFW.csv,2020-11-24T17:04:10.407847Z,8,0.711,0.604,0.656,0.667,0.133,0.091,0.613,0.494,0.507,0.433,0.091,0.077
ADA-USD-predict-ensamble-gakknn-MFX.csv,2020-11-24T19:01:56.542176Z,8,0.657,0.506,0.476,0.5,0.127,0.058,0.614,0.438,0.39,0.2,0.056,0.207
ADA-USD-predict-ensamble-gakknn-MFY.csv,2020-11-24T20:40:46.270161Z,8,0.697,0.495,0.41,0.4,0.178,0.149,0.597,0.472,0.459,0.433,0.102,0.035
ADA-USD-predict-ensamble-gakknn-MFZ.csv,2020-11-25T08:12:18.481602Z,7,0.696,0.572,0.475,0.467,0.145,0.168,0.542,0.35,0.392,0.3,0.16,0.117
ADA-USD-predict-ensamble-gakknn-MG.csv,2020-11-25T10:51:44.800488Z,7,0.658,0.507,0.494,0.6,0.165,0.109,0.559,0.439,0.476,0.5,0.122,0.067
ADA-USD-predict-ensamble-gakknn-MGA.csv,2020-11-25T12:40:17.137882Z,7,0.656,0.395,0.476,0.5,0.274,0.142,0.538,0.483,0.491,0.467,0.095,0.029
ADA-USD-predict-ensamble-gakknn-MH.csv,2020-11-25T14:39:01.646990Z,7,0.603,0.462,0.493,0.567,0.221,0.091,0.592,0.549,0.506,0.4,0.095,0.129
ADA-USD-predict-ensamble-gakknn-MHA.csv,2020-11-25T16:30:17.310Z,7,0.613,0.418,0.443,0.467,0.178,0.05,0.55,0.506,0.459,0.433,0.147,0.085
ADA-USD-predict-ensamble-gakknn-MHB.csv,2020-11-25T18:24:01.538779Z,7,0.646,0.395,0.376,0.3,0.176,0.083,0.537,0.461,0.458,0.4,0.114,0.058
ADA-USD-predict-ensamble-gakknn-MI.csv,2020-11-25T20:43:47.589088Z,7,0.646,0.562,0.526,0.6,0.16,0.097,0.571,0.539,0.509,0.567,0.124,0.078
ADA-USD-predict-ensamble-gakknn-MIA.csv,2020-11-26T07:56:30.203652Z,6,0.662,0.527,0.574,0.6,0.147,0.085,0.586,0.527,0.558,0.567,0.095,0.053
ADA-USD-predict-ensamble-gakknn-MIB.csv,2020-11-26T09:22:49.872140Z,6,0.565,0.449,0.508,0.467,0.157,0.109,0.531,0.559,0.589,0.5,0.134,0.102
ADA-USD-predict-ensamble-gakknn-MIBA.csv,2020-11-26T20:59:24.802983Z,6,0.614,0.507,0.494,0.6,0.144,0.109,0.516,0.528,0.508,0.5,0.063,0.035
ADA-USD-predict-ensamble-gakknn-MIC.csv,2020-11-26T11:40:52.207750Z,6,0.635,0.548,0.556,0.467,0.135,0.09,0.506,0.528,0.509,0.567,0.074,0.066
ADA-USD-predict-ensamble-gakknn-MICA.csv,2020-11-26T13:29:00.462312Z,6,0.646,0.494,0.508,0.5,0.154,0.025,0.647,0.671,0.657,0.733,0.058,0.08
ADA-USD-predict-ensamble-gakknn-MICB.csv,2020-11-26T14:53:04.658959Z,6,0.696,0.551,0.526,0.6,0.158,0.086,0.587,0.505,0.441,0.367,0.062,0.134
ADA-USD-predict-ensamble-gakknn-MICC.csv,2020-11-26T16:31:21.301175Z,6,0.657,0.484,0.46,0.5,0.151,0.059,0.549,0.526,0.539,0.4,0.07,0.14
ADA-USD-predict-ensamble-gakknn-MICD.csv,2020-11-26T18:07:30.643863Z,6,0.674,0.561,0.541,0.567,0.134,0.042,0.532,0.451,0.426,0.4,0.05,0.05
ADA-USD-predict-ensamble-gakknn-MICE.csv,2020-11-26T19:33:37.931097Z,6,0.679,0.518,0.476,0.533,0.163,0.091,0.516,0.472,0.458,0.367,0.087,0.094
ADA-USD-predict-ensamble-gakknn-MID.csv,2020-11-27T08:01:06.167935Z,5,0.653,0.571,0.573,0.533,0.15,0.04,0.51,0.484,0.525,0.567,0.065,0.083
ADA-USD-predict-ensamble-gakknn-MIDA.csv,2020-11-27T09:38:05.450535Z,5,0.686,0.484,0.41,0.4,0.186,0.129,0.619,0.504,0.456,0.3,0.05,0.177
ADA-USD-predict-ensamble-gakknn-MIDB.csv,2020-11-27T11:10:38.076367Z,5,0.575,0.441,0.461,0.567,0.174,0.112,0.608,0.529,0.543,0.667,0.129,0.126
ADA-USD-predict-ensamble-gakknn-MIDC.csv,2020-11-27T12:17:34.999389Z,5,0.674,0.573,0.576,0.733,0.154,0.157,0.5,0.508,0.562,0.833,0.144,0.287
ADA-USD-predict-ensamble-gakknn-MIDD.csv,2020-11-27T13:40:48.635412Z,5,0.7,0.482,0.54,0.5,0.189,0.108,0.57,0.616,0.657,0.733,0.087,0.105
ADA-USD-predict-ensamble-gakknn-MIF.csv,2020-11-27T15:33:15.823148Z,5,0.705,0.559,0.573,0.5,0.143,0.076,0.576,0.516,0.491,0.467,0.088,0.05
ADA-USD-predict-ensamble-gakknn-MIFA.csv,2020-11-27T18:37:11.922888Z,5,0.668,0.616,0.574,0.567,0.105,0.073,0.537,0.416,0.425,0.333,0.097,0.093
ADA-USD-predict-ensamble-gakknn-MIFB.csv,2020-11-27T21:29:21.425436Z,5,0.641,0.516,0.525,0.533,0.124,0.017,0.576,0.538,0.574,0.567,0.067,0.062
ADA-USD-predict-ensamble-gakknn-MIG.csv,2020-11-28T08:30:30.229281Z,4,0.662,0.516,0.508,0.5,0.145,0.017,0.565,0.56,0.557,0.533,0.058,0.024
ADA-USD-predict-ensamble-gakknn-MIGA.csv,2020-11-28T11:39:23.078288Z,4,0.701,0.582,0.59,0.6,0.128,0.017,0.57,0.516,0.54,0.5,0.081,0.059
ADA-USD-predict-ensamble-gakknn-MIH.csv,2020-11-28T18:28:27.862551Z,4,0.684,0.549,0.574,0.567,0.132,0.043,0.576,0.551,0.526,0.6,0.074,0.086
