PredictFile,Created,Acc6m,Acc3m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev1m,PrevSD6m,PrevSD3m
ADA-USD-predict-kknnLDJ-ensamble.csv,2020-11-08T08:08:10.534902Z,0.668,0.636,0.529,0.125,0.102,0.426,0.392,0.294,0.17,0.164
ADA-USD-predict-kknnLDJA-ensamble.csv,2020-11-08T10:14:32.852531Z,0.619,0.575,0.412,0.15,0.141,0.519,0.457,0.294,0.141,0.222
ADA-USD-predict-kknnLDJB-ensamble.csv,2020-11-08T11:02:21.228545Z,0.705,0.561,0.471,0.071,0.079,0.584,0.467,0.353,0.108,0.102
ADA-USD-predict-kknnLDJC-ensamble.csv,2020-11-08T12:37:27.475721Z,0.624,0.503,0.294,0.153,0.183,0.48,0.425,0.294,0.152,0.145
ADA-USD-predict-kknnLDJD-ensamble.csv,2020-11-08T13:17:08.627995Z,0.613,0.529,0.471,0.132,0.051,0.524,0.391,0.353,0.136,0.034
ADA-USD-predict-kknnLDJF-ensamble.csv,2020-11-08T13:53:05.476328Z,0.679,0.553,0.412,0.162,0.144,0.459,0.305,0.294,0.174,0.045
ADA-USD-predict-kknnLDJG-ensamble.csv,2020-11-09T16:39:02.233839Z,0.652,0.634,0.588,0.139,0.086,0.476,0.412,0.353,0.168,0.091
ADA-USD-predict-kknnLDJH-ensamble.csv,2020-11-09T18:58:29.585062Z,0.585,0.569,0.529,0.144,0.095,0.465,0.411,0.412,0.157,0.056
ADA-USD-predict-kknnLDJI-ensamble.csv,2020-11-09T19:40:22.106438Z,0.548,0.515,0.529,0.176,0.015,0.46,0.404,0.294,0.198,0.096
ADA-USD-predict-kknnLDJJ-ensamble.csv,2020-11-09T20:18:59.789733Z,0.592,0.6,0.588,0.167,0.073,0.525,0.468,0.353,0.202,0.108
ADA-USD-predict-kknnLDJK-ensamble.csv,2020-11-10T08:08:24.279212Z,0.585,0.475,0.412,0.12,0.12,0.542,0.493,0.294,0.123,0.203
