PredictFile,Created,ProdDays,Acc6m,Acc3m,Acc1m,AccSD6m,AccSD3m,Prev6m,Prev3m,Prev1m,PrevSD6m,PrevSD3m
ADA-USD-predict-kknnLDJA-ensamble.csv,2020-11-08T08:50:15.018706Z,20,0.593,0.604,0.5,0.124,0.091,0.515,0.466,0.321,0.134,0.212
ADA-USD-predict-kknnLDJB-ensamble.csv,2020-11-08T10:42:57.174431Z,20,0.68,0.571,0.5,0.072,0.062,0.559,0.457,0.321,0.092,0.12
ADA-USD-predict-kknnLDJC-ensamble.csv,2020-11-08T11:15:35.316367Z,20,0.587,0.548,0.429,0.126,0.106,0.466,0.434,0.321,0.134,0.133
ADA-USD-predict-kknnLDJD-ensamble.csv,2020-11-08T12:53:00.822425Z,20,0.582,0.55,0.536,0.119,0.016,0.472,0.392,0.357,0.093,0.032
ADA-USD-predict-kknnLDJF-ensamble.csv,2020-11-08T13:30:19.398252Z,20,0.626,0.583,0.5,0.138,0.104,0.408,0.362,0.464,0.144,0.099
ADA-USD-predict-kknnLDJG-ensamble.csv,2020-11-09T16:21:02.733850Z,19,0.609,0.652,0.643,0.107,0.077,0.445,0.425,0.393,0.132,0.08
ADA-USD-predict-kknnLDJH-ensamble.csv,2020-11-09T17:50:22.475365Z,19,0.571,0.583,0.571,0.125,0.089,0.419,0.405,0.393,0.138,0.057
ADA-USD-predict-kknnLDJI-ensamble.csv,2020-11-09T19:15:37.374975Z,19,0.5,0.517,0.536,0.125,0.018,0.413,0.378,0.214,0.147,0.142
ADA-USD-predict-kknnLDJJ-ensamble.csv,2020-11-09T19:56:22.040624Z,19,0.571,0.582,0.536,0.142,0.083,0.495,0.469,0.357,0.19,0.106
ADA-USD-predict-kknnLDJK-ensamble.csv,2020-11-09T20:32:34.892436Z,19,0.559,0.469,0.393,0.085,0.125,0.517,0.49,0.286,0.116,0.207
ADA-USD-predict-kknnLDK-ensamble.csv,2020-11-08T16:20:21.344508Z,20,0.599,0.562,0.536,0.152,0.126,0.51,0.467,0.357,0.142,0.211
ADA-USD-predict-kknnLDL-ensamble.csv,2020-11-08T17:06:13.929700Z,20,0.587,0.607,0.607,0.101,0.006,0.466,0.518,0.571,0.222,0.047
ADA-USD-predict-kknnLDM-ensamble.csv,2020-11-08T17:47:42.872396Z,20,0.598,0.529,0.321,0.159,0.192,0.446,0.29,0.071,0.13,0.232
ADA-USD-predict-kknnLDN-ensamble.csv,2020-11-09T09:56:52.933142Z,19,0.61,0.582,0.464,0.137,0.118,0.51,0.446,0.357,0.102,0.119
ADA-USD-predict-kknnLDO-ensamble.csv,2020-11-09T12:29:26.984530Z,19,0.615,0.521,0.286,0.111,0.207,0.395,0.321,0.25,0.248,0.264
ADA-USD-predict-kknnLDP-ensamble.csv,2020-11-10T11:41:25.030422Z,18,0.708,0.647,0.464,0.108,0.161,0.543,0.423,0.286,0.111,0.121
