YearWeek,buy,sell,Action
2020-15,19,16,buy
2020-16,22,13,buy
2020-17,28,7,buy
2020-18,19,16,buy
2020-19,22,13,buy
2020-20,18,17,buy
2020-21,16,19,sell
2020-22,28,7,buy
2020-23,21,14,buy
2020-24,6,29,sell
2020-25,18,17,buy
2020-26,18,16,buy
2020-27,27,8,buy
2020-28,23,12,buy
2020-29,12,23,sell
2020-30,17,18,sell
2020-31,11,24,sell
2020-32,22,13,buy
2020-33,8,27,sell
2020-34,14,21,sell
2020-35,18,17,buy
2020-36,12,23,sell
2020-37,17,18,sell
2020-38,18,17,buy
2020-39,21,14,buy
2020-40,13,22,sell
2020-41,20,15,buy
2020-42,21,14,buy
2020-43,27,8,buy
2020-44,18,17,buy
2020-45,11,24,sell
2020-46,16,19,sell
2020-47,16,19,sell
2020-48,15,20,sell
2020-49,22,13,buy
2020-50,14,21,sell
2020-51,17,18,sell
2020-52,14,21,sell
2020-53,6,14,sell
2021-01,13,22,sell
2021-02,23,12,buy
2021-03,21,14,buy
2021-04,19,16,buy
2021-05,29,6,buy
2021-06,18,17,buy
2021-07,18,17,buy
2021-08,12,23,sell
2021-09,11,24,sell
2021-10,15,20,sell
2021-11,20,15,buy
2021-12,13,22,sell
2021-13,21,14,buy
2021-14,21,14,buy
2021-15,15,20,sell
2021-16,21,14,buy
2021-17,16,19,sell
2021-18,16,19,sell
2021-19,20,15,buy
2021-20,11,24,sell
2021-21,10,25,sell
2021-22,18,17,buy
2021-23,19,16,buy
2021-24,31,4,buy
2021-25,22,13,buy
2021-26,11,4,buy
2021-53,10,5,buy
