YearWeek,buy,sell,Action
2018-40,12,23,sell
2018-41,14,21,sell
2018-42,20,15,buy
2018-43,11,24,sell
2018-44,24,11,buy
2018-45,21,14,buy
2018-46,4,31,sell
2018-47,9,26,sell
2018-48,21,14,buy
2018-49,3,32,sell
2018-50,16,19,sell
2018-51,24,11,buy
2018-52,15,20,sell
2019-01,23,17,buy
2019-02,15,20,sell
2019-03,22,13,buy
2019-04,21,14,buy
2019-05,26,9,buy
2019-06,23,12,buy
2019-07,21,14,buy
2019-08,24,11,buy
2019-09,17,18,sell
2019-10,24,11,buy
2019-11,19,16,buy
2019-12,13,22,sell
2019-13,21,14,buy
2019-14,31,4,buy
2019-15,8,27,sell
2019-16,17,18,sell
2019-17,6,29,sell
2019-18,22,13,buy
2019-19,20,15,buy
2019-20,18,17,buy
2019-21,23,12,buy
2019-22,19,16,buy
2019-23,19,16,buy
2019-24,23,12,buy
2019-25,17,18,sell
2019-26,14,21,sell
2019-27,15,20,sell
2019-28,11,24,sell
2019-29,21,14,buy
2019-30,8,27,sell
2019-31,20,15,buy
2019-32,12,23,sell
2019-33,7,28,sell
2019-34,8,27,sell
2019-35,10,25,sell
2019-36,22,13,buy
2019-37,20,15,buy
2019-38,22,13,buy
2019-39,9,26,sell
2019-40,16,19,sell
2019-41,17,18,sell
2019-42,18,17,buy
2019-43,16,19,sell
2019-44,16,19,sell
2019-45,23,12,buy
2019-46,10,25,sell
2019-47,6,29,sell
2019-48,23,12,buy
2019-49,14,21,sell
2019-50,11,24,sell
2019-51,12,23,sell
2019-52,26,9,buy
2020-01,15,10,buy
2020-02,28,7,buy
2020-03,20,15,buy
2020-04,13,22,sell
2020-05,25,10,buy
2020-06,26,9,buy
2020-07,20,15,buy
2020-08,18,17,buy
2020-09,10,25,sell
2020-10,19,16,buy
2020-11,8,27,sell
2020-12,21,14,buy
2020-13,18,17,buy
2020-14,29,6,buy
2020-15,19,16,buy
2020-16,17,18,sell
2020-17,17,18,sell
2020-18,22,13,buy
2020-19,17,18,sell
2020-20,19,16,buy
2020-21,16,19,sell
2020-22,22,13,buy
2020-23,21,14,buy
2020-24,9,26,sell
2020-25,18,17,buy
2020-26,16,19,sell
2020-27,23,12,buy
2020-28,21,14,buy
2020-29,15,20,sell
2020-30,29,6,buy
2020-31,27,8,buy
2020-32,18,17,buy
2020-33,18,17,buy
2020-34,17,18,sell
2020-35,15,20,sell
2020-36,18,17,buy
2020-37,17,18,sell
2020-38,20,15,buy
2020-39,17,18,sell
2020-40,22,13,buy
2020-41,19,16,buy
2020-42,19,16,buy
2020-43,20,15,buy
2020-44,18,17,buy
2020-45,18,17,buy
2020-46,16,19,sell
2020-47,19,16,buy
2020-48,18,17,buy
2020-49,25,10,buy
2020-50,14,21,sell
2020-51,18,17,buy
2020-52,21,14,buy
2020-53,11,9,buy
2021-01,17,18,sell
2021-02,16,19,sell
2021-03,22,13,buy
2021-04,14,21,sell
2021-05,17,18,sell
2021-06,28,7,buy
2021-07,18,17,buy
2021-08,13,22,sell
2021-09,19,16,buy
2021-10,25,10,buy
2021-11,22,13,buy
2021-12,21,14,buy
2021-13,17,18,sell
2021-14,20,15,buy
2021-15,22,13,buy
2021-16,14,21,sell
2021-17,24,11,buy
2021-18,18,17,buy
2021-19,19,16,buy
2021-20,15,20,sell
2021-21,13,22,sell
2021-22,24,11,buy
2021-23,23,12,buy
2021-24,12,23,sell
2021-25,12,23,sell
2021-26,7,8,sell
2021-53,9,6,buy
