YearWeek,buy,sell,Action,ActionID
2019-22,26,16,buy,1
2019-23,6,35,sell,0
2019-24,24,18,buy,1
2019-25,9,33,sell,0
2019-26,12,30,sell,0
2019-27,25,17,buy,1
2019-28,12,30,sell,0
2019-29,27,15,buy,1
2019-30,23,19,buy,1
2019-31,27,15,buy,1
2019-32,36,6,buy,1
2019-33,32,9,buy,1
2019-34,19,23,sell,0
2019-35,19,23,sell,0
2019-36,16,26,sell,0
2019-37,17,25,sell,0
2019-38,15,27,sell,0
2019-39,20,22,sell,0
2019-40,20,22,sell,0
2019-41,17,25,sell,0
2019-42,16,26,sell,0
2019-43,18,24,sell,0
2019-44,25,17,buy,1
2019-45,22,20,buy,1
2019-46,24,18,buy,1
2019-47,23,19,buy,1
2019-48,26,16,buy,1
2019-49,18,23,sell,0
2019-50,23,19,buy,1
2019-51,19,22,sell,0
2019-52,17,25,sell,0
2020-01,14,16,sell,0
2020-02,21,21,buy,1
2020-03,21,21,buy,1
2020-04,34,8,buy,1
2020-05,30,12,buy,1
2020-06,17,25,sell,0
2020-07,11,31,sell,0
2020-08,20,22,sell,0
2020-09,30,12,buy,1
2020-10,31,11,buy,1
2020-11,24,18,buy,1
2020-12,34,8,buy,1
2020-13,18,24,sell,0
2020-14,36,6,buy,1
2020-15,4,38,sell,0
2020-16,26,16,buy,1
2020-17,23,19,buy,1
2020-18,23,19,buy,1
2020-19,13,29,sell,0
2020-20,23,19,buy,1
2020-21,19,23,sell,0
2020-22,6,36,sell,0
2020-23,12,30,sell,0
2020-24,23,19,buy,1
2020-25,19,23,sell,0
2020-26,23,16,buy,1
2020-27,15,27,sell,0
2020-28,29,13,buy,1
2020-29,16,26,sell,0
2020-30,13,29,sell,0
2020-31,23,19,buy,1
2020-32,18,24,sell,0
2020-33,17,25,sell,0
2020-34,23,19,buy,1
2020-35,22,20,buy,1
2020-36,23,17,buy,1
2020-37,21,21,buy,1
2020-38,23,19,buy,1
2020-39,12,30,sell,0
2020-40,9,33,sell,0
2020-41,25,17,buy,1
2020-42,19,23,sell,0
2020-43,23,19,buy,1
2020-44,25,17,buy,1
2020-45,17,25,sell,0
2020-46,25,17,buy,1
2020-47,18,24,sell,0
2020-48,15,27,sell,0
2020-49,26,16,buy,1
2020-50,28,14,buy,1
2020-51,20,22,sell,0
2020-52,23,19,buy,1
2020-53,7,17,sell,0
2021-01,21,21,buy,1
2021-02,19,19,buy,1
2021-03,18,20,sell,0
2021-04,24,18,buy,1
2021-05,19,23,sell,0
2021-06,23,19,buy,1
2021-07,22,20,buy,1
2021-08,26,16,buy,1
2021-09,15,27,sell,0
2021-10,15,27,sell,0
2021-11,23,19,buy,1
2021-12,31,11,buy,1
2021-13,16,25,sell,0
2021-14,19,22,sell,0
2021-15,19,23,sell,0
2021-16,27,15,buy,1
2021-17,26,16,buy,1
2021-18,19,23,sell,0
2021-19,19,23,sell,0
2021-20,22,20,buy,1
2021-21,22,20,buy,1
2021-22,18,24,sell,0
2021-23,15,26,sell,0
2021-24,37,5,buy,1
