YearWeek,buy,sell,Action,ActionID
2016-31,15,20,sell,0
2016-32,14,21,sell,0
2016-33,19,16,buy,1
2016-34,18,17,buy,1
2016-35,18,17,buy,1
2016-36,15,20,sell,0
2016-37,18,17,buy,1
2016-38,21,14,buy,1
2016-39,22,13,buy,1
2016-40,20,15,buy,1
2016-41,16,19,sell,0
2016-42,9,26,sell,0
2016-43,15,20,sell,0
2016-44,15,20,sell,0
2016-45,19,16,buy,1
2016-46,17,18,sell,0
2016-47,17,18,sell,0
2016-48,15,20,sell,0
2016-49,24,11,buy,1
2016-50,17,18,sell,0
2016-51,15,20,sell,0
2016-52,13,17,sell,0
2016-53,5,10,sell,0
2017-01,26,9,buy,1
2017-02,18,17,buy,1
2017-03,18,17,buy,1
2017-04,13,22,sell,0
2017-05,14,21,sell,0
2017-06,18,17,buy,1
2017-07,15,20,sell,0
2017-08,11,24,sell,0
2017-09,17,18,sell,0
2017-10,20,15,buy,1
2017-11,8,27,sell,0
2017-12,13,22,sell,0
2017-13,22,13,buy,1
2017-14,15,20,sell,0
2017-15,22,13,buy,1
2017-16,11,24,sell,0
2017-17,17,18,sell,0
2017-18,23,12,buy,1
2017-19,17,18,sell,0
2017-20,20,15,buy,1
2017-21,21,14,buy,1
2017-22,20,15,buy,1
2017-23,9,26,sell,0
2017-24,13,22,sell,0
2017-25,9,26,sell,0
2017-26,6,29,sell,0
2017-27,13,22,sell,0
2017-28,7,28,sell,0
2017-29,19,16,buy,1
2017-30,7,28,sell,0
2017-31,33,2,buy,1
2017-32,12,23,sell,0
2017-33,6,29,sell,0
2017-34,18,17,buy,1
2017-35,21,14,buy,1
2017-36,19,16,buy,1
2017-37,21,14,buy,1
2017-38,13,22,sell,0
2017-39,21,14,buy,1
2017-40,16,19,sell,0
2017-41,20,15,buy,1
2017-42,14,21,sell,0
2017-43,11,24,sell,0
2017-44,14,21,sell,0
2017-45,14,21,sell,0
2017-46,19,16,buy,1
2017-47,23,12,buy,1
2017-48,23,12,buy,1
2017-49,22,13,buy,1
2017-50,8,27,sell,0
2017-51,20,15,buy,1
2017-52,23,17,buy,1
2018-01,25,15,buy,1
2018-02,24,11,buy,1
2018-03,25,10,buy,1
2018-04,12,23,sell,0
2018-05,13,22,sell,0
2018-06,13,22,sell,0
2018-07,22,13,buy,1
2018-08,13,22,sell,0
2018-09,19,16,buy,1
2018-10,11,24,sell,0
2018-11,6,29,sell,0
2018-12,20,15,buy,1
2018-13,15,20,sell,0
2018-14,22,13,buy,1
2018-15,28,7,buy,1
2018-16,22,13,buy,1
2018-17,20,15,buy,1
2018-18,11,24,sell,0
2018-19,13,22,sell,0
2018-20,17,18,sell,0
2018-21,10,25,sell,0
2018-22,18,17,buy,1
2018-23,8,27,sell,0
2018-24,21,14,buy,1
2018-25,19,16,buy,1
2018-26,15,20,sell,0
2018-27,19,16,buy,1
2018-28,17,18,sell,0
2018-29,26,9,buy,1
2018-30,16,19,sell,0
2018-31,5,30,sell,0
2018-32,14,21,sell,0
2018-33,17,14,buy,1
2018-34,10,25,sell,0
2018-35,20,15,buy,1
2018-36,13,22,sell,0
2018-37,12,23,sell,0
2018-38,11,24,sell,0
2018-39,12,23,sell,0
2018-40,20,15,buy,1
2018-41,15,20,sell,0
2018-42,30,5,buy,1
2018-43,14,21,sell,0
2018-44,23,12,buy,1
2018-45,26,9,buy,1
2018-46,11,24,sell,0
2018-47,9,26,sell,0
2018-48,16,19,sell,0
2018-49,12,23,sell,0
2018-50,13,22,sell,0
2018-51,26,9,buy,1
2018-52,22,13,buy,1
2019-01,27,13,buy,1
2019-02,17,18,sell,0
2019-03,17,18,sell,0
2019-04,15,20,sell,0
2019-05,9,26,sell,0
2019-06,23,12,buy,1
2019-07,27,8,buy,1
2019-08,21,14,buy,1
2019-09,22,13,buy,1
2019-10,25,10,buy,1
2019-11,18,17,buy,1
2019-12,20,15,buy,1
2019-13,24,11,buy,1
2019-14,17,18,sell,0
2019-15,15,20,sell,0
2019-16,30,5,buy,1
2019-17,20,15,buy,1
2019-18,18,17,buy,1
2019-19,13,22,sell,0
2019-20,23,12,buy,1
2019-21,12,23,sell,0
2019-22,16,19,sell,0
2019-23,12,23,sell,0
2019-24,23,12,buy,1
2019-25,15,20,sell,0
2019-26,14,21,sell,0
2019-27,14,21,sell,0
2019-28,16,19,sell,0
2019-29,18,17,buy,1
2019-30,17,18,sell,0
2019-31,11,24,sell,0
2019-32,16,19,sell,0
2019-33,17,18,sell,0
2019-34,16,19,sell,0
2019-35,10,25,sell,0
2019-36,8,27,sell,0
2019-37,18,17,buy,1
2019-38,20,15,buy,1
2019-39,16,19,sell,0
2019-40,20,15,buy,1
2019-41,20,15,buy,1
2019-42,26,9,buy,1
2019-43,21,14,buy,1
2019-44,16,19,sell,0
2019-45,20,15,buy,1
2019-46,22,13,buy,1
2019-47,0,35,sell,0
2019-48,13,22,sell,0
2019-49,15,20,sell,0
2019-50,19,16,buy,1
2019-51,16,19,sell,0
2019-52,20,15,buy,1
2020-01,16,9,buy,1
2020-02,20,15,buy,1
2020-03,21,14,buy,1
2020-04,13,22,sell,0
2020-05,20,15,buy,1
2020-06,26,9,buy,1
2020-07,14,21,sell,0
2020-08,18,17,buy,1
2020-09,13,22,sell,0
2020-10,17,18,sell,0
2020-11,10,25,sell,0
2020-12,18,17,buy,1
2020-13,19,16,buy,1
2020-14,21,14,buy,1
2020-15,26,9,buy,1
2020-16,17,18,sell,0
2020-17,29,6,buy,1
2020-18,15,20,sell,0
2020-19,22,13,buy,1
2020-20,21,14,buy,1
2020-21,17,18,sell,0
2020-22,19,16,buy,1
2020-23,16,19,sell,0
2020-24,14,21,sell,0
2020-25,16,19,sell,0
2020-26,23,12,buy,1
2020-27,12,23,sell,0
2020-28,18,17,buy,1
2020-29,16,19,sell,0
2020-30,10,25,sell,0
2020-31,11,24,sell,0
2020-32,18,17,buy,1
2020-33,16,19,sell,0
2020-34,12,23,sell,0
2020-35,12,23,sell,0
2020-36,14,21,sell,0
2020-37,11,24,sell,0
2020-38,10,25,sell,0
2020-39,16,19,sell,0
2020-40,12,23,sell,0
2020-41,15,20,sell,0
2020-42,12,23,sell,0
2020-43,19,16,buy,1
2020-44,16,19,sell,0
2020-45,20,15,buy,1
2020-46,11,24,sell,0
2020-47,16,19,sell,0
2020-48,19,16,buy,1
2020-49,22,13,buy,1
2020-50,16,19,sell,0
2020-51,20,15,buy,1
2020-52,9,26,sell,0
2020-53,13,7,buy,1
2021-01,26,9,buy,1
2021-02,19,16,buy,1
2021-03,12,23,sell,0
2021-04,10,25,sell,0
2021-05,16,19,sell,0
2021-06,19,16,buy,1
2021-07,19,16,buy,1
2021-08,15,20,sell,0
2021-09,20,15,buy,1
2021-10,20,15,buy,1
2021-11,19,16,buy,1
2021-12,15,20,sell,0
2021-13,22,13,buy,1
2021-14,20,15,buy,1
2021-15,17,18,sell,0
2021-16,17,18,sell,0
2021-17,20,15,buy,1
2021-18,15,20,sell,0
2021-19,17,18,sell,0
2021-20,10,25,sell,0
2021-21,19,16,buy,1
2021-22,15,20,sell,0
2021-23,17,18,sell,0
2021-24,15,20,sell,0
2021-25,19,16,buy,1
2021-26,15,20,sell,0
2021-27,13,22,sell,0
2021-28,21,14,buy,1
2021-29,12,23,sell,0
2021-30,15,20,sell,0
2021-31,14,21,sell,0
2021-32,12,23,sell,0
2021-33,16,19,sell,0
2021-34,16,19,sell,0
2021-35,14,21,sell,0
2021-36,22,13,buy,1
2021-37,21,14,buy,1
2021-38,18,17,buy,1
2021-39,18,17,buy,1
2021-40,19,16,buy,1
2021-41,20,15,buy,1
2021-42,18,17,buy,1
2021-43,18,17,buy,1
2021-44,18,17,buy,1
2021-45,17,18,sell,0
2021-46,10,25,sell,0
2021-47,11,24,sell,0
2021-48,13,22,sell,0
2021-49,14,21,sell,0
2021-50,19,16,buy,1
2021-51,16,19,sell,0
2021-52,10,15,sell,0
2021-53,8,7,buy,1
2022-01,17,18,sell,0
2022-02,13,22,sell,0
2022-03,19,16,buy,1
2022-04,16,19,sell,0
2022-05,21,14,buy,1
2022-06,22,13,buy,1
2022-07,20,15,buy,1
2022-08,20,15,buy,1
2022-09,14,21,sell,0
2022-10,20,15,buy,1
2022-11,14,21,sell,0
2022-12,18,17,buy,1
2022-13,19,16,buy,1
2022-14,19,16,buy,1
2022-15,22,13,buy,1
2022-16,19,16,buy,1
2022-17,21,14,buy,1
2022-18,26,9,buy,1
2022-19,18,17,buy,1
2022-20,20,15,buy,1
2022-21,15,20,sell,0
2022-22,19,16,buy,1
2022-23,16,19,sell,0
2022-24,20,15,buy,1
2022-25,21,14,buy,1
2022-26,18,17,buy,1
2022-27,19,16,buy,1
2022-28,18,17,buy,1
2022-29,15,20,sell,0
2022-30,24,11,buy,1
2022-31,15,20,sell,0
2022-32,12,23,sell,0
2022-33,16,19,sell,0
2022-34,11,24,sell,0
2022-35,19,16,buy,1
2022-36,16,19,sell,0
2022-37,18,17,buy,1
2022-38,21,14,buy,1
2022-39,15,20,sell,0
2022-40,16,19,sell,0
2022-41,14,21,sell,0
2022-42,18,17,buy,1
2022-43,11,24,sell,0
2022-44,19,16,buy,1
2022-45,17,18,sell,0
2022-46,19,16,buy,1
2022-47,22,13,buy,1
2022-48,22,13,buy,1
2022-49,14,21,sell,0
2022-50,12,23,sell,0
2022-51,17,18,sell,0
2022-52,21,19,buy,1
