PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
ME_SN_a30,1,35,-0.006,0.044,-0.004,-0.006,0.018,-0.118,0.158,0.277,0.906,4.521,0.007
VE_SA_a150,1,48,0.001,0.022,0,0,0.02,-0.047,0.047,0.094,0.215,-0.484,0.003
VE_SU_a36,1,207,0.005,0.034,0.001,0.002,0.018,-0.128,0.218,0.346,1.619,9.067,0.002
JU_PH_a135,1,32,-0.007,0.016,-0.003,-0.005,0.015,-0.042,0.015,0.057,-0.679,-0.625,0.003
ME_UR_a30,1,67,0.008,0.026,0.005,0.006,0.015,-0.057,0.088,0.145,0.824,1.111,0.003
CE_SN_a72,1,101,0.004,0.031,0.003,0.002,0.024,-0.118,0.112,0.23,0.157,2.645,0.003
ME_SA_a103,1,46,0.004,0.033,0.001,0,0.019,-0.051,0.134,0.185,1.658,4.286,0.005
ME_CH_a0,1,27,0.005,0.029,0,0.002,0.019,-0.038,0.088,0.126,1.039,0.756,0.006
MA_PH_a120,1,46,0.011,0.043,0.005,0.007,0.032,-0.082,0.158,0.24,1.057,1.838,0.006
SU_SA_a120,1,57,-0.002,0.026,-0.003,-0.004,0.019,-0.059,0.115,0.174,1.418,5.462,0.003
VE_VS_a72,1,60,0.001,0.041,-0.002,0.001,0.024,-0.135,0.108,0.243,-0.442,2.409,0.005
VE_CE_a103,1,58,-0.004,0.028,-0.002,-0.005,0.021,-0.059,0.081,0.14,0.636,1.145,0.004
VE_PH_a135,1,51,0.012,0.066,-0.002,0.002,0.029,-0.104,0.29,0.394,2.337,6.537,0.009
MA_CE_a90,1,27,0,0.036,-0.001,-0.004,0.019,-0.062,0.137,0.199,1.695,5.015,0.007
VS_UR_a45,1,41,0.007,0.021,0.005,0.006,0.014,-0.034,0.088,0.121,1.426,4.024,0.003
MA_PA_a120,1,34,-0.002,0.028,-0.002,-0.001,0.024,-0.065,0.059,0.124,-0.05,-0.18,0.005
MA_PL_a103,1,48,-0.003,0.029,-0.001,-0.002,0.022,-0.071,0.058,0.129,-0.246,-0.21,0.004
VE_PA_a135,1,54,0.016,0.051,0.008,0.008,0.018,-0.064,0.286,0.35,3.185,12.982,0.007
MA_SA_a144,1,44,0.005,0.046,-0.003,0.001,0.026,-0.08,0.154,0.234,0.994,1.317,0.007
ME_PH_a90,1,40,0.002,0.026,-0.001,0.001,0.014,-0.066,0.082,0.148,0.629,2,0.004
SU_PH_a103,1,59,0.01,0.047,0.003,0.008,0.021,-0.104,0.191,0.294,0.959,3.059,0.006
NN_NE_a150,1,97,0.001,0.039,-0.001,-0.002,0.025,-0.074,0.181,0.255,1.927,7.202,0.004
SN_NE_a30,1,97,0.001,0.039,-0.001,-0.002,0.025,-0.074,0.181,0.255,1.927,7.202,0.004
MA_JU_a103,1,47,0.012,0.032,0.01,0.01,0.034,-0.038,0.112,0.149,0.596,0.251,0.005
VE_PL_a120,1,50,0.003,0.028,0.001,0.001,0.017,-0.064,0.099,0.163,1.007,2.337,0.004
ME_CE_a60,1,42,0.007,0.028,0.003,0.005,0.019,-0.064,0.088,0.151,0.845,1.915,0.004
SU_NN_a180,1,28,0,0.047,-0.001,0.003,0.013,-0.135,0.108,0.243,-0.786,2.3,0.009
SU_SN_a0,1,28,0,0.047,-0.001,0.003,0.013,-0.135,0.108,0.243,-0.786,2.3,0.009
ME_PA_a90,1,55,-0.007,0.06,-0.002,-0.002,0.042,-0.203,0.122,0.325,-0.809,1.634,0.008
MA_VS_a60,1,56,0.008,0.035,-0.001,0.004,0.021,-0.054,0.132,0.186,1.471,2.502,0.005
SU_CE_a72,1,60,0.004,0.038,-0.001,0.001,0.02,-0.114,0.139,0.253,0.573,3.161,0.005
SU_PA_a103,1,55,-0.001,0.028,0.003,0.001,0.022,-0.096,0.063,0.159,-0.762,1.697,0.004
ME_SA_a120,1,50,0.007,0.075,-0.003,-0.002,0.038,-0.124,0.344,0.468,2.009,6.627,0.011
VE_PH_a144,1,54,0.008,0.031,0.004,0.007,0.025,-0.064,0.114,0.178,0.623,1.749,0.004
