PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JN_NN_a150,1,39,0.016,0.065,0.01,0.014,0.065,-0.11,0.197,0.307,0.411,0.305,0.01
JN_SN_a30,1,39,0.016,0.065,0.01,0.014,0.065,-0.11,0.197,0.307,0.411,0.305,0.01
VS_PA_a180,1,48,0.002,0.036,0,0.001,0.038,-0.083,0.076,0.16,0.15,-0.595,0.005
JU_CH_a135,1,71,0,0.049,-0.002,-0.001,0.047,-0.105,0.167,0.272,0.694,1.681,0.006
NN_PL_a150,1,113,0.008,0.049,0.002,0.006,0.039,-0.173,0.185,0.358,0.298,2.251,0.005
SN_PL_a30,1,113,0.008,0.049,0.002,0.006,0.039,-0.173,0.185,0.358,0.298,2.251,0.005
VS_NN_a72,1,26,0.004,0.032,0.008,0.003,0.035,-0.052,0.069,0.12,0.188,-0.885,0.006
VS_PL_a72,1,25,0.004,0.037,0.007,0.008,0.03,-0.105,0.061,0.166,-0.866,0.909,0.007
JU_NE_a120,1,86,-0.003,0.052,-0.006,-0.006,0.046,-0.105,0.167,0.272,0.91,1.607,0.006
CE_CH_a144,1,63,0.002,0.064,0,0,0.062,-0.173,0.185,0.358,0.198,0.711,0.008
VS_SN_a103,1,27,0.013,0.041,0.012,0.016,0.042,-0.105,0.084,0.189,-0.657,0.651,0.008
CE_NN_a0,1,86,0.006,0.066,0,0.004,0.05,-0.173,0.233,0.406,0.449,1.738,0.007
CE_SN_a180,1,86,0.006,0.066,0,0.004,0.05,-0.173,0.233,0.406,0.449,1.738,0.007
JN_CH_a60,1,83,0.001,0.03,0.002,0.003,0.027,-0.105,0.054,0.158,-0.962,1.799,0.003
JU_SA_a45,1,156,-0.003,0.06,-0.005,-0.005,0.048,-0.173,0.233,0.406,0.517,1.812,0.005
MA_UR_a180,1,19,-0.016,0.059,-0.017,-0.018,0.061,-0.105,0.112,0.218,0.204,-0.782,0.013
SA_NE_a72,1,163,0.002,0.048,0,0.001,0.037,-0.173,0.185,0.358,0.422,2.252,0.004
JN_UR_a90,1,20,-0.005,0.041,-0.003,-0.002,0.041,-0.105,0.053,0.158,-0.552,-0.388,0.009
JU_PH_a45,1,140,0.001,0.053,-0.003,-0.001,0.045,-0.173,0.185,0.358,0.588,1.819,0.004
MA_PA_a180,1,22,0.002,0.028,0.002,0.003,0.03,-0.067,0.046,0.114,-0.459,-0.219,0.006
JN_NE_a45,1,20,0.011,0.044,0.002,0.009,0.033,-0.068,0.144,0.212,0.983,1.794,0.01
VS_NE_a120,1,25,0.006,0.044,0,0.005,0.03,-0.072,0.144,0.216,0.809,1.668,0.009
VS_JU_a0,1,13,0.045,0.077,0.028,0.042,0.071,-0.068,0.185,0.253,0.326,-1.231,0.021
JN_PH_a30,1,27,0.017,0.068,0.021,0.014,0.064,-0.105,0.185,0.29,0.635,-0.078,0.013
JN_SA_a30,1,15,0.041,0.089,0.042,0.046,0.074,-0.173,0.185,0.358,-0.58,-0.001,0.023
VS_PH_a45,1,28,0.018,0.059,0.004,0.013,0.045,-0.072,0.185,0.257,1.088,0.982,0.011
VS_SA_a45,1,22,0.026,0.064,0.001,0.019,0.033,-0.068,0.185,0.253,0.992,-0.069,0.014
VS_NN_a90,1,69,-0.004,0.066,0.009,0.002,0.051,-0.216,0.101,0.318,-1.041,1.017,0.008
VS_SN_a90,1,69,-0.004,0.066,0.009,0.002,0.051,-0.216,0.101,0.318,-1.041,1.017,0.008
VS_PL_a60,1,26,0.012,0.053,0.013,0.015,0.038,-0.173,0.102,0.275,-1.253,3.589,0.01
VS_JN_a72,1,201,-0.003,0.05,-0.002,-0.004,0.04,-0.173,0.233,0.406,0.327,3.069,0.004
JU_NN_a90,1,18,0.015,0.085,0.002,0.009,0.06,-0.112,0.233,0.345,0.884,0.329,0.02
JU_SN_a90,1,18,0.015,0.085,0.002,0.009,0.06,-0.112,0.233,0.345,0.884,0.329,0.02
NN_SA_a135,1,48,0.014,0.07,0.01,0.008,0.046,-0.112,0.233,0.345,0.941,1.109,0.01
SN_SA_a45,1,48,0.014,0.07,0.01,0.008,0.046,-0.112,0.233,0.345,0.941,1.109,0.01
VE_SA_a0,1,15,0.006,0.022,0.003,0.008,0.018,-0.044,0.037,0.081,-0.438,-0.333,0.006
JN_PH_a36,1,25,-0.002,0.041,0.003,-0.005,0.036,-0.066,0.107,0.173,0.663,0.219,0.008
VE_CE_a135,1,28,-0.005,0.046,0.006,-0.002,0.034,-0.126,0.07,0.197,-0.78,-0.024,0.009
JN_NE_a36,1,20,-0.005,0.048,-0.001,-0.008,0.034,-0.091,0.107,0.198,0.327,-0.215,0.011
VS_PH_a36,1,27,0.01,0.046,0.007,0.008,0.039,-0.066,0.107,0.173,0.263,-0.583,0.009
JN_SA_a36,1,29,0.018,0.092,-0.002,0.012,0.088,-0.112,0.233,0.345,0.665,-0.58,0.017
