PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
VS_CAN,640,576,1216,0.53,0.47
VS_CAP,461,427,888,0.52,0.48
VS_GEM,707,611,1318,0.54,0.46
VS_LEO,620,547,1167,0.53,0.47
VS_LIB,552,471,1023,0.54,0.46
VS_PIS,536,446,982,0.55,0.45
VS_SAG,506,417,923,0.55,0.45
VS_SCO,390,364,754,0.52,0.48
VS_TAU,638,628,1266,0.5,0.5
VS_VIR,501,503,1004,0.5,0.5
