PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
MO_CAN,91,94,185,0.49,0.51
MO_CAP,111,92,203,0.55,0.45
MO_GEM,70,112,182,0.38,0.62
MO_LEO,94,94,188,0.5,0.5
MO_LIB,96,101,197,0.49,0.51
MO_PIS,89,107,196,0.45,0.55
MO_SAG,88,108,196,0.45,0.55
MO_SCO,94,105,199,0.47,0.53
MO_TAU,95,91,186,0.51,0.49
MO_VIR,102,90,192,0.53,0.47
NE_PIS,1127,1188,2315,0.49,0.51
NN_CAN,268,299,567,0.47,0.53
NN_GEM,116,114,230,0.5,0.5
NN_LEO,281,285,566,0.5,0.5
NN_LIB,161,224,385,0.42,0.58
NN_VIR,301,266,567,0.53,0.47
PA_AQU,148,161,309,0.48,0.52
PA_ARI,84,70,154,0.55,0.45
PA_CAN,18,33,51,0.35,0.65
PA_CAP,197,198,395,0.5,0.5
PA_GEM,28,24,52,0.54,0.46
PA_LEO,21,34,55,0.38,0.62
PA_LIB,152,172,324,0.47,0.53
PA_PIS,124,77,201,0.62,0.38
PA_SAG,157,201,358,0.44,0.56
PA_SCO,59,84,143,0.41,0.59
PA_TAU,109,102,211,0.52,0.48
PA_VIR,30,32,62,0.48,0.52
PH_CAP,409,423,832,0.49,0.51
PH_SAG,718,765,1483,0.48,0.52
PL_CAP,1127,1188,2315,0.49,0.51
SA_AQU,67,68,135,0.5,0.5
SA_CAP,460,532,992,0.46,0.54
SA_SAG,525,472,997,0.53,0.47
SA_SCO,75,116,191,0.39,0.61
SN_AQU,281,285,566,0.5,0.5
SN_ARI,162,224,386,0.42,0.58
SN_CAP,268,299,567,0.47,0.53
SN_PIS,300,266,566,0.53,0.47
SN_SAG,116,114,230,0.5,0.5
SU_AQU,95,83,178,0.53,0.47
SU_ARI,83,100,183,0.45,0.55
SU_CAN,98,92,190,0.52,0.48
SU_CAP,101,105,206,0.49,0.51
SU_GEM,93,94,187,0.5,0.5
SU_LEO,85,102,187,0.45,0.55
SU_LIB,87,124,211,0.41,0.59
SU_PIS,97,83,180,0.54,0.46
SU_SAG,111,96,207,0.54,0.46
SU_SCO,95,115,210,0.45,0.55
SU_TAU,96,90,186,0.52,0.48
SU_VIR,86,104,190,0.45,0.55
UR_ARI,719,735,1454,0.49,0.51
UR_TAU,408,453,861,0.47,0.53
VE_AQU,83,64,147,0.56,0.44
VE_ARI,109,114,223,0.49,0.51
VE_CAN,74,86,160,0.46,0.54
VE_CAP,70,91,161,0.43,0.57
VE_GEM,131,121,252,0.52,0.48
VE_LEO,106,132,238,0.45,0.55
VE_LIB,89,124,213,0.42,0.58
VE_PIS,101,78,179,0.56,0.44
VE_SAG,82,90,172,0.48,0.52
VE_SCO,118,116,234,0.5,0.5
VE_TAU,85,71,156,0.54,0.46
VE_VIR,79,101,180,0.44,0.56
VS_AQU,58,63,121,0.48,0.52
VS_ARI,144,160,304,0.47,0.53
VS_CAN,141,127,268,0.53,0.47
VS_CAP,87,115,202,0.43,0.57
VS_GEM,78,66,144,0.54,0.46
VS_LEO,119,111,230,0.52,0.48
VS_LIB,31,28,59,0.53,0.47
VS_PIS,80,90,170,0.47,0.53
VS_SAG,97,135,232,0.42,0.58
VS_SCO,41,36,77,0.53,0.47
VS_TAU,165,190,355,0.46,0.54
VS_VIR,86,67,153,0.56,0.44
