PlanetsAspect,buy,sell
VEPL_a0,176,116
VEPL_a103,230,208
VEPL_a120,264,182
VEPL_a135,278,212
VEPL_a150,275,201
VEPL_a180,153,121
VEPL_a30,249,183
VEPL_a45,262,168
VEPL_a60,275,151
VEPL_a90,243,197
VESA_a0,164,121
VESA_a103,262,192
VESA_a120,247,195
VESA_a135,278,205
VESA_a150,230,168
VESA_a180,138,107
VESA_a30,290,172
VESA_a45,236,193
VESA_a60,265,182
VESA_a90,236,221
VESU_a0,389,331
VESU_a30,778,629
VESU_a45,1461,1074
VEUR_a0,139,110
VEUR_a103,242,191
VEUR_a120,247,193
VEUR_a135,268,203
VEUR_a150,257,169
VEUR_a180,175,118
VEUR_a30,281,194
VEUR_a45,249,231
VEUR_a60,229,168
VEUR_a90,236,171
