PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
SU_LIB,57,53,110,0.52,0.48
SU_PIS,36,54,90,0.4,0.6
SU_SAG,63,55,118,0.53,0.47
SU_SCO,57,63,120,0.48,0.52
SU_TAU,47,46,93,0.51,0.49
SU_VIR,43,50,93,0.46,0.54
UR_ARI,158,186,344,0.46,0.54
UR_TAU,434,427,861,0.5,0.5
VE_AQU,41,31,72,0.57,0.43
VE_ARI,28,49,77,0.36,0.64
VE_CAN,30,50,80,0.38,0.62
VE_CAP,45,42,87,0.52,0.48
VE_GEM,102,73,175,0.58,0.42
VE_LEO,31,46,77,0.4,0.6
VE_LIB,65,73,138,0.47,0.53
VE_PIS,35,39,74,0.47,0.53
VE_SAG,48,51,99,0.48,0.52
VE_SCO,82,78,160,0.51,0.49
VE_TAU,42,36,78,0.54,0.46
VE_VIR,43,45,88,0.49,0.51
VS_AQU,29,33,62,0.47,0.53
VS_ARI,26,41,67,0.39,0.61
VS_CAN,40,29,69,0.58,0.42
VS_CAP,65,81,146,0.45,0.55
VS_GEM,51,23,74,0.69,0.31
VS_LEO,32,40,72,0.44,0.56
VS_LIB,24,20,44,0.55,0.45
VS_PIS,40,21,61,0.66,0.34
VS_SAG,61,113,174,0.35,0.65
VS_SCO,34,26,60,0.57,0.43
VS_TAU,143,143,286,0.5,0.5
VS_VIR,47,43,90,0.52,0.48
