PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
MOPL_a45,646,533,1179,0.55,0.45
MOPL_a60,660,532,1192,0.55,0.45
MOPL_a90,648,536,1184,0.55,0.45
MOSA_a0,375,289,664,0.56,0.44
MOSA_a103,690,505,1195,0.58,0.42
MOSA_a120,693,523,1216,0.57,0.43
MOSA_a135,651,545,1196,0.54,0.46
MOSA_a150,653,532,1185,0.55,0.45
MOSA_a180,362,275,637,0.57,0.43
MOSA_a30,655,527,1182,0.55,0.45
MOSA_a45,650,525,1175,0.55,0.45
MOSA_a60,687,491,1178,0.58,0.42
MOSA_a90,665,519,1184,0.56,0.44
MOSU_a0,347,275,622,0.56,0.44
MOSU_a103,629,511,1140,0.55,0.45
MOSU_a120,637,518,1155,0.55,0.45
MOSU_a135,598,520,1118,0.53,0.47
MOSU_a150,610,500,1110,0.55,0.45
MOSU_a180,345,267,612,0.56,0.44
MOSU_a30,612,498,1110,0.55,0.45
MOSU_a45,648,499,1147,0.56,0.44
MOSU_a60,645,501,1146,0.56,0.44
MOSU_a90,648,499,1147,0.56,0.44
MOUR_a0,373,285,658,0.57,0.43
MOUR_a103,692,488,1180,0.59,0.41
MOUR_a120,644,552,1196,0.54,0.46
MOUR_a135,616,570,1186,0.52,0.48
MOUR_a150,650,534,1184,0.55,0.45
MOUR_a180,344,303,647,0.53,0.47
MOUR_a30,669,527,1196,0.56,0.44
MOUR_a45,686,494,1180,0.58,0.42
MOUR_a60,672,509,1181,0.57,0.43
MOUR_a90,684,506,1190,0.57,0.43
MOVE_a0,371,250,621,0.6,0.4
MOVE_a103,584,531,1115,0.52,0.48
MOVE_a120,609,550,1159,0.53,0.47
MOVE_a135,616,499,1115,0.55,0.45
MOVE_a150,632,492,1124,0.56,0.44
MOVE_a180,332,278,610,0.54,0.46
MOVE_a30,663,471,1134,0.58,0.42
MOVE_a45,661,473,1134,0.58,0.42
MOVE_a60,639,493,1132,0.56,0.44
MOVE_a90,589,541,1130,0.52,0.48
NEPL_a60,1779,1479,3258,0.55,0.45
SANE_a0,164,106,270,0.61,0.39
SANE_a103,211,189,400,0.53,0.47
SANE_a120,210,205,415,0.51,0.49
SANE_a135,174,138,312,0.56,0.44
