PlanetZodSign,buy,sell,daysN,BuyDays%,SellDays%
MO_PIS,54,65,119,0.45,0.55
MO_SAG,50,62,112,0.45,0.55
MO_SCO,51,59,110,0.46,0.54
MO_TAU,51,60,111,0.46,0.54
MO_VIR,59,43,102,0.58,0.42
NE_PIS,662,665,1327,0.5,0.5
NN_CAN,284,283,567,0.5,0.5
NN_GEM,119,111,230,0.52,0.48
NN_LEO,259,271,530,0.49,0.51
PA_AQU,44,33,77,0.57,0.43
PA_ARI,49,40,89,0.55,0.45
PA_CAN,20,31,51,0.39,0.61
PA_CAP,147,144,291,0.51,0.49
PA_GEM,28,24,52,0.54,0.46
PA_LEO,25,30,55,0.45,0.55
PA_LIB,134,160,294,0.46,0.54
PA_SAG,34,37,71,0.48,0.52
PA_SCO,47,27,74,0.64,0.36
PA_TAU,97,114,211,0.46,0.54
PA_VIR,37,25,62,0.6,0.4
PH_CAP,412,420,832,0.5,0.5
PH_SAG,250,245,495,0.51,0.49
PL_CAP,662,665,1327,0.5,0.5
SA_AQU,74,61,135,0.55,0.45
SA_CAP,489,503,992,0.49,0.51
SA_SAG,99,101,200,0.5,0.5
SN_AQU,259,271,530,0.49,0.51
SN_CAP,284,283,567,0.5,0.5
SN_SAG,119,111,230,0.52,0.48
SU_AQU,47,42,89,0.53,0.47
SU_ARI,56,36,92,0.61,0.39
SU_CAN,58,68,126,0.46,0.54
SU_CAP,67,51,118,0.57,0.43
SU_GEM,49,62,111,0.44,0.56
SU_LEO,55,70,125,0.44,0.56
SU_LIB,71,50,121,0.59,0.41
SU_PIS,41,49,90,0.46,0.54
SU_SAG,62,56,118,0.53,0.47
SU_SCO,57,63,120,0.48,0.52
SU_TAU,41,52,93,0.44,0.56
SU_VIR,58,66,124,0.47,0.53
UR_ARI,229,237,466,0.49,0.51
UR_TAU,433,428,861,0.5,0.5
VE_AQU,39,33,72,0.54,0.46
VE_ARI,34,46,80,0.42,0.57
VE_CAN,46,60,106,0.43,0.57
VE_CAP,49,38,87,0.56,0.44
VE_GEM,97,105,202,0.48,0.52
VE_LEO,44,58,102,0.43,0.57
VE_LIB,66,72,138,0.48,0.52
VE_PIS,43,31,74,0.58,0.42
VE_SAG,51,48,99,0.52,0.48
VE_SCO,94,66,160,0.59,0.41
VE_TAU,52,54,106,0.49,0.51
VE_VIR,47,54,101,0.47,0.53
VS_AQU,27,35,62,0.44,0.56
VS_ARI,30,37,67,0.45,0.55
VS_CAN,36,33,69,0.52,0.48
VS_CAP,75,71,146,0.51,0.49
VS_GEM,40,34,74,0.54,0.46
VS_LEO,50,66,116,0.43,0.57
VS_LIB,26,33,59,0.44,0.56
VS_PIS,39,22,61,0.64,0.36
VS_SAG,74,100,174,0.43,0.57
VS_SCO,38,22,60,0.63,0.37
VS_TAU,141,145,286,0.49,0.51
VS_VIR,86,67,153,0.56,0.44
