PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
JUUR_a103,1,499,0,0.012,0,0,0.006,-0.076,0.063,0.139,-0.833,8.305,0.001
JUSA_a120,1,456,0,0.014,0,0,0.006,-0.063,0.072,0.135,-0.069,7.899,0.001
JUUR_a120,1,466,0,0.011,0,0,0.005,-0.126,0.073,0.199,-4.319,57.177,0
JUSA_a135,1,471,0,0.007,0,0,0.006,-0.026,0.026,0.052,0.031,1.365,0
SAUR_a0,1,301,0.001,0.008,0.001,0.001,0.006,-0.033,0.026,0.06,-0.319,1.982,0
JUNE_a120,1,492,0.001,0.007,0,0.001,0.005,-0.034,0.029,0.063,-0.421,3.171,0
JUPL_a180,1,268,0,0.007,0,0,0.006,-0.025,0.029,0.054,0.039,1.559,0
JUUR_a135,1,390,0,0.008,0,0,0.007,-0.04,0.031,0.071,-0.385,2.462,0
JUNE_a135,1,408,0.001,0.005,0.001,0.001,0.004,-0.015,0.018,0.034,-0.07,1.059,0
JUSA_a150,1,314,0,0.008,0,0,0.006,-0.031,0.034,0.065,0.111,3.267,0
JUUR_a150,1,452,0,0.008,0,0,0.006,-0.034,0.036,0.071,-0.253,3.388,0
JUNE_a150,1,542,0,0.006,0,0,0.005,-0.021,0.027,0.048,0.193,1.395,0
SANE_a0,1,270,0.001,0.006,0.001,0.001,0.005,-0.033,0.015,0.048,-1.059,3.648,0
SAPL_a60,1,433,0.001,0.006,0.001,0.001,0.005,-0.021,0.027,0.048,0.165,1.567,0
JUUR_a180,1,304,0.001,0.005,0.001,0.001,0.004,-0.017,0.018,0.035,-0.261,0.896,0
JUSA_a180,1,352,0,0.008,0.001,0,0.007,-0.033,0.023,0.056,-0.609,1.536,0
JUNE_a180,1,357,0,0.009,0,0,0.007,-0.033,0.031,0.064,-0.218,1.191,0
URNE_a0,1,1314,0,0.005,0,0.001,0.004,-0.018,0.024,0.042,0.004,1.633,0
URPL_a60,1,1283,0.001,0.007,0.001,0.001,0.005,-0.04,0.032,0.072,-0.126,3.365,0
SAPL_a90,1,420,0,0.006,0,0,0.005,-0.022,0.019,0.041,-0.333,1.196,0
SAPL_a103,1,402,-0.001,0.015,0,0,0.007,-0.063,0.072,0.135,0.012,4.972,0.001
SAPL_a120,1,415,0.001,0.006,0.001,0.001,0.005,-0.019,0.022,0.041,-0.079,0.761,0
SAPL_a135,1,381,0.001,0.007,0.001,0.001,0.006,-0.04,0.032,0.072,-0.308,3.252,0
SAPL_a150,1,371,0,0.008,0.001,0,0.006,-0.04,0.035,0.076,-0.185,3.145,0
SAUR_a90,1,226,0,0.01,0,0,0.009,-0.043,0.032,0.075,-0.297,1.463,0.001
SANE_a103,1,400,0,0.008,0.001,0,0.007,-0.043,0.032,0.075,-0.418,3.563,0
SAUR_a103,1,505,0,0.008,0.001,0,0.007,-0.027,0.024,0.051,-0.07,0.404,0
SANE_a120,1,415,0,0.007,0,0,0.006,-0.021,0.022,0.043,-0.047,0.573,0
SAPL_a180,1,232,-0.001,0.01,-0.002,-0.001,0.009,-0.03,0.023,0.054,0.146,-0.091,0.001
SANE_a135,1,312,0,0.011,0,0,0.009,-0.036,0.036,0.072,-0.333,1.236,0.001
SAUR_a120,1,519,0,0.008,0,0.001,0.005,-0.029,0.041,0.07,0.258,3.744,0
SANE_a150,1,402,0,0.012,0.001,0,0.007,-0.063,0.072,0.134,-0.074,7.389,0.001
SAUR_a135,1,514,0,0.005,0.001,0.001,0.005,-0.027,0.023,0.05,-0.254,2.343,0
SAUR_a150,1,479,0.001,0.005,0.001,0.001,0.004,-0.016,0.014,0.03,-0.249,0.559,0
SANE_a180,1,234,0.001,0.005,0.001,0.001,0.004,-0.02,0.013,0.033,-0.539,1.462,0
SAUR_a180,1,280,-0.001,0.018,0,-0.001,0.014,-0.063,0.072,0.135,0.022,2.76,0.001
URPL_a90,1,1038,0,0.007,0.001,0.001,0.006,-0.036,0.027,0.062,-0.336,2.185,0
URNE_a45,1,1048,0,0.009,0.001,0.001,0.005,-0.076,0.063,0.139,-1.138,12.884,0
URPL_a103,1,639,0,0.01,0.001,0.001,0.005,-0.076,0.063,0.139,-1.064,12.024,0
