PlanetsAspect,buy,sell
MEUR_a60,79,65
MEUR_a90,56,55
MEVE_a0,94,99
MEVE_a30,180,202
MEVE_a45,99,154
MEVE_a60,112,74
MOJU_a0,75,79
MOJU_a103,121,146
MOJU_a120,119,144
MOJU_a135,114,146
MOJU_a150,108,153
MOJU_a180,71,70
MOJU_a30,126,140
MOJU_a45,139,120
MOJU_a60,128,132
MOJU_a90,127,135
MOMA_a0,74,71
MOMA_a103,119,132
MOMA_a120,111,143
MOMA_a135,116,141
MOMA_a150,120,132
MOMA_a180,74,72
MOMA_a30,127,134
MOMA_a45,136,123
MOMA_a60,137,117
MOMA_a90,111,148
MOME_a0,56,78
MOME_a103,107,139
MOME_a120,127,131
MOME_a135,127,121
MOME_a150,118,128
MOME_a180,56,71
MOME_a30,120,138
MOME_a45,135,112
MOME_a60,137,110
MOME_a90,109,139
MONE_a0,74,70
MONE_a103,109,158
MONE_a120,109,152
MONE_a135,132,130
MONE_a150,143,120
MONE_a180,70,72
MONE_a30,126,135
MONE_a45,133,132
MONE_a60,138,129
MONE_a90,109,159
MOPL_a0,70,75
MOPL_a103,129,137
MOPL_a120,126,132
MOPL_a135,124,138
MOPL_a150,118,148
MOPL_a180,63,78
MOPL_a30,125,138
MOPL_a45,128,139
MOPL_a60,130,141
MOPL_a90,126,137
MOSA_a0,76,74
MOSA_a103,130,131
MOSA_a120,131,128
MOSA_a135,134,123
MOSA_a150,125,138
MOSA_a180,62,81
MOSA_a30,128,138
MOSA_a45,126,142
MOSA_a60,131,139
MOSA_a90,137,126
MOSU_a0,60,78
MOSU_a103,114,137
MOSU_a120,115,143
MOSU_a135,127,125
MOSU_a150,133,118
MOSU_a180,62,76
MOSU_a30,125,119
MOSU_a45,133,118
MOSU_a60,134,116
MOSU_a90,105,151
MOUR_a0,69,78
MOUR_a103,138,128
MOUR_a120,137,131
MOUR_a135,122,145
MOUR_a150,136,135
MOUR_a180,72,76
MOUR_a30,126,133
MOUR_a45,121,141
MOUR_a60,113,146
MOUR_a90,132,132
MOVE_a0,71,74
MOVE_a103,117,142
MOVE_a120,103,144
MOVE_a135,103,136
MOVE_a150,127,129
MOVE_a180,74,67
MOVE_a30,132,116
MOVE_a45,113,118
MOVE_a60,113,137
MOVE_a90,125,137
NEPL_a60,190,214
SANE_a103,59,96
SANE_a45,55,48
SANE_a60,177,190
SANE_a90,180,160
SAPL_a0,201,201
SAPL_a30,147,129
SAPL_a45,112,179
SAUR_a103,212,185
SAUR_a120,229,197
SAUR_a135,137,179
SAUR_a90,2,0
SUJU_a0,25,45
SUJU_a103,58,54
SUJU_a120,54,53
SUJU_a135,54,50
SUJU_a150,52,50
SUJU_a180,30,29
SUJU_a30,60,64
SUJU_a45,55,71
SUJU_a60,70,56
SUJU_a90,55,65
SUMA_a0,55,46
SUMA_a103,65,34
SUMA_a120,34,43
SUMA_a135,32,29
SUMA_a150,24,26
SUMA_a180,11,15
SUMA_a30,75,87
SUMA_a45,87,71
SUMA_a60,73,80
SUMA_a90,32,76
SUNE_a0,42,26
SUNE_a103,49,69
SUNE_a120,64,55
SUNE_a135,52,63
SUNE_a150,51,67
SUNE_a180,31,35
SUNE_a30,53,58
SUNE_a45,49,60
SUNE_a60,67,52
SUNE_a90,49,69
SUPL_a0,35,35
SUPL_a103,45,71
SUPL_a120,49,62
SUPL_a135,53,56
SUPL_a150,50,60
SUPL_a180,33,34
SUPL_a30,64,55
SUPL_a45,48,70
SUPL_a60,69,50
SUPL_a90,45,74
SUSA_a0,38,35
SUSA_a103,45,67
SUSA_a120,58,50
SUSA_a135,49,58
SUSA_a150,45,62
SUSA_a180,30,34
SUSA_a30,58,69
SUSA_a45,53,71
SUSA_a60,64,53
SUSA_a90,52,62
SUUR_a0,33,38
SUUR_a103,57,54
SUUR_a120,65,49
SUUR_a135,46,70
SUUR_a150,47,66
SUUR_a180,21,54
SUUR_a30,65,50
SUUR_a45,55,59
SUUR_a60,47,66
SUUR_a90,49,62
URNE_a45,715,808
URPL_a103,425,503
URPL_a90,250,260
VEJU_a0,44,64
VEJU_a103,49,47
VEJU_a120,43,54
VEJU_a135,55,79
VEJU_a150,45,48
VEJU_a180,41,17
VEJU_a30,69,53
VEJU_a45,40,62
VEJU_a60,47,53
VEJU_a90,44,55
VEMA_a0,49,59
VEMA_a103,42,58
VEMA_a120,59,60
VEMA_a135,20,30
VEMA_a150,19,27
VEMA_a180,12,15
VEMA_a30,71,73
VEMA_a45,80,89
VEMA_a60,76,77
VEMA_a90,61,54
VENE_a0,28,30
VENE_a103,47,55
VENE_a120,56,55
VENE_a135,74,74
VENE_a150,43,60
VENE_a180,23,34
VENE_a30,84,48
VENE_a45,39,58
VENE_a60,52,43
VENE_a90,66,72
VEPL_a0,23,33
VEPL_a103,40,60
VEPL_a120,41,57
VEPL_a135,83,99
VEPL_a150,69,66
VEPL_a180,29,29
VEPL_a30,49,54
VEPL_a45,56,45
VEPL_a60,51,51
VEPL_a90,49,55
VESA_a0,27,33
VESA_a103,99,82
VESA_a120,55,39
VESA_a135,74,57
VESA_a150,55,38
VESA_a180,15,38
VESA_a30,59,42
VESA_a45,45,61
VESA_a60,64,70
VESA_a90,79,92
VESU_a0,69,117
VESU_a30,166,201
VESU_a45,315,327
VEUR_a0,34,27
VEUR_a103,41,51
VEUR_a120,67,64
VEUR_a135,38,63
VEUR_a150,42,58
VEUR_a180,48,71
VEUR_a30,84,74
VEUR_a45,66,60
VEUR_a60,43,52
VEUR_a90,35,58
