PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
VEJU_a60,1,304,-0.001,0.024,0,-0.001,0.016,-0.132,0.103,0.235,-0.079,4.466,0.001
VEPL_a45,1,286,0.002,0.025,0.001,0.002,0.019,-0.145,0.092,0.237,-0.574,5.833,0.001
VESA_a60,1,287,0.002,0.025,0,0.001,0.017,-0.094,0.124,0.218,0.815,4.628,0.001
MOVE_a120,1,858,0.001,0.022,0.001,0.001,0.017,-0.084,0.094,0.178,0.052,2.008,0.001
MOJU_a60,1,942,0.001,0.022,0,0,0.017,-0.145,0.097,0.242,0.118,4.065,0.001
MOSA_a60,1,924,0.002,0.023,0.002,0.002,0.018,-0.152,0.099,0.251,-0.286,3.863,0.001
MOUR_a103,1,934,0.001,0.027,0.001,0.001,0.016,-0.471,0.1,0.571,-6.256,106.452,0.001
VEMA_a45,1,355,0.001,0.022,0,0,0.014,-0.077,0.162,0.239,1.315,9.442,0.001
MAUR_a60,1,269,0.002,0.025,0,0.001,0.018,-0.091,0.092,0.183,0.387,2.81,0.002
MOMA_a150,1,885,0.001,0.024,0,0,0.017,-0.152,0.16,0.312,0.282,5.497,0.001
MOUR_a90,1,932,0.001,0.024,0.001,0.001,0.016,-0.162,0.162,0.324,-0.269,7.632,0.001
MOVE_a103,1,876,0.001,0.023,0,0,0.016,-0.109,0.11,0.22,0.445,3.458,0.001
MOME_a120,1,893,0.001,0.024,0.001,0.001,0.016,-0.145,0.095,0.24,-0.263,3.835,0.001
MOJU_a30,1,959,0,0.022,0,0,0.016,-0.109,0.137,0.247,0.506,5.803,0.001
MOPL_a45,1,935,0,0.029,0,0,0.017,-0.471,0.11,0.581,-4.962,76.788,0.001
MOSA_a30,1,922,0.001,0.024,0.001,0.001,0.017,-0.12,0.137,0.258,0.018,4.602,0.001
MONE_a103,1,934,0,0.029,0.001,0.001,0.015,-0.471,0.132,0.603,-5.423,83.141,0.001
MOVE_a90,1,862,0.001,0.023,0.001,0.001,0.017,-0.123,0.128,0.251,0.354,3.62,0.001
MESU_a0,1,743,0.002,0.024,0.002,0.002,0.017,-0.232,0.147,0.379,-0.727,15.418,0.001
MOME_a90,1,888,0.002,0.022,0.001,0.002,0.017,-0.109,0.147,0.257,0.612,4.891,0.001
SUJU_a90,1,275,0,0.019,0,0,0.016,-0.064,0.059,0.123,0.063,1.06,0.001
SUSA_a90,1,281,0.002,0.025,0.002,0.002,0.02,-0.081,0.129,0.21,0.643,3.406,0.001
MOSU_a90,1,874,0.002,0.024,0.001,0.001,0.017,-0.125,0.147,0.273,0.475,5.141,0.001
MOJU_a0,1,438,0.001,0.024,0,0.001,0.017,-0.119,0.162,0.28,0.575,7.918,0.001
MOSA_a0,1,475,0.001,0.022,0.001,0.001,0.017,-0.119,0.085,0.204,0.098,3.136,0.001
MOUR_a45,1,917,0.002,0.023,0.001,0.001,0.016,-0.084,0.147,0.232,0.604,4.676,0.001
MOVE_a60,1,886,0,0.022,0.001,0.001,0.016,-0.162,0.137,0.299,-0.063,6.725,0.001
MEJU_a90,1,289,0.002,0.021,0.002,0.002,0.015,-0.064,0.107,0.171,0.367,3.052,0.001
MESA_a90,1,287,0.002,0.022,0,0.001,0.018,-0.106,0.123,0.229,0.257,5.015,0.001
MONE_a60,1,932,0.002,0.022,0.001,0.001,0.017,-0.145,0.13,0.275,0.07,4.936,0.001
MOPL_a0,1,466,-0.001,0.023,0,0,0.017,-0.175,0.084,0.258,-1.189,7.657,0.001
MOUR_a30,1,944,0.001,0.023,0,0.001,0.017,-0.152,0.147,0.299,0.483,5.943,0.001
MOVE_a45,1,869,0.001,0.022,0.001,0.001,0.018,-0.125,0.123,0.248,-0.233,4.543,0.001
MONE_a45,1,936,0,0.022,0,0,0.016,-0.175,0.16,0.335,-0.01,8.282,0.001
MOSU_a60,1,886,0,0.021,-0.001,0,0.016,-0.089,0.132,0.221,0.618,3.599,0.001
MOME_a60,1,867,0.001,0.024,0.001,0.001,0.018,-0.162,0.132,0.293,-0.062,5.494,0.001
MEUR_a45,1,308,0,0.022,0,0,0.016,-0.119,0.086,0.205,-0.206,4.188,0.001
MONE_a30,1,951,0.002,0.023,0.001,0.001,0.018,-0.152,0.147,0.299,0.356,5.926,0.001
SUUR_a45,1,282,0.002,0.024,0.001,0.002,0.017,-0.112,0.117,0.229,-0.044,4.379,0.001
MOJU_a45,1,965,0.001,0.022,0.001,0,0.017,-0.175,0.086,0.26,-0.529,6.212,0.001
MOPL_a30,1,934,0.001,0.023,0,0,0.017,-0.098,0.162,0.26,0.361,4.222,0.001
MOSA_a45,1,923,0.001,0.023,0.001,0.001,0.017,-0.145,0.147,0.292,-0.07,7.751,0.001
MOSU_a45,1,873,0.001,0.026,0,0,0.017,-0.232,0.129,0.361,-1.046,14.336,0.001
MOME_a45,1,903,0.001,0.022,0,0.001,0.015,-0.124,0.132,0.256,0.319,7.219,0.001
MOUR_a0,1,480,0.001,0.025,0.001,0.001,0.017,-0.119,0.137,0.255,0.401,5.256,0.001
MOMA_a60,1,909,0.001,0.023,0.001,0.001,0.016,-0.175,0.236,0.41,0.547,18.069,0.001
VENE_a0,1,138,-0.002,0.025,-0.001,-0.001,0.019,-0.083,0.067,0.15,-0.107,0.719,0.002
VEPL_a60,1,272,0.002,0.023,0.002,0.001,0.015,-0.087,0.11,0.197,0.584,3.843,0.001
MOMA_a30,1,915,0.001,0.023,0.001,0,0.015,-0.086,0.318,0.404,2.986,41.058,0.001
MOSU_a0,1,422,0.003,0.023,0.002,0.002,0.016,-0.12,0.162,0.282,1.029,8.686,0.001
MOME_a0,1,446,0.001,0.034,0.003,0.001,0.016,-0.471,0.318,0.789,-4.001,93.672,0.002
MAPL_a103,1,224,0,0.019,0,0,0.018,-0.082,0.059,0.141,-0.1,1.454,0.001
MOJU_a103,1,917,0,0.022,0,0,0.016,-0.12,0.09,0.211,-0.091,2.844,0.001
MOSA_a103,1,953,0,0.022,0.001,0,0.015,-0.232,0.103,0.336,-1.139,15.993,0.001
MOVE_a30,1,888,0.001,0.023,0.001,0,0.016,-0.132,0.162,0.294,0.539,8.236,0.001
MESA_a103,1,303,0.001,0.021,0,0.001,0.017,-0.076,0.068,0.144,0.025,1.68,0.001
MOUR_a60,1,923,0.001,0.022,0.001,0.001,0.016,-0.175,0.13,0.305,-0.475,8.659,0.001
MEJU_a103,1,280,0,0.023,0,-0.001,0.019,-0.058,0.132,0.19,0.932,3.665,0.001
MENE_a30,1,291,0.005,0.022,0.003,0.003,0.017,-0.065,0.08,0.145,0.604,1.117,0.001
MOMA_a0,1,450,0.002,0.024,0.002,0.002,0.017,-0.124,0.1,0.224,0.198,3.571,0.001
MANE_a45,1,284,0,0.022,0,0,0.017,-0.078,0.073,0.151,-0.029,1.452,0.001
MEPL_a90,1,283,0.001,0.021,0,0.001,0.017,-0.068,0.091,0.159,0.52,2.528,0.001
MOJU_a120,1,973,0.001,0.023,0.001,0.001,0.016,-0.232,0.128,0.36,-1.326,15.187,0.001
MOSA_a120,1,956,0.001,0.024,0,0.001,0.017,-0.175,0.162,0.336,-0.382,7.994,0.001
MOSU_a30,1,894,0.001,0.026,0.001,0,0.016,-0.175,0.318,0.492,2.296,37.511,0.001
VEUR_a30,1,290,0.004,0.022,0.003,0.003,0.015,-0.071,0.147,0.219,1.129,7.68,0.001
MOME_a30,1,909,0.001,0.023,0,0,0.017,-0.232,0.162,0.394,-0.785,16.87,0.001
MOPL_a120,1,935,0,0.022,0,0,0.017,-0.145,0.099,0.244,-0.139,3.631,0.001
MASA_a120,1,230,0.003,0.025,0.001,0.002,0.016,-0.062,0.128,0.191,1.039,3.988,0.002
MAJU_a120,1,226,0.001,0.018,0.001,0.001,0.015,-0.06,0.074,0.134,0.332,1.441,0.001
MEUR_a60,1,303,0.004,0.027,0.002,0.002,0.017,-0.076,0.162,0.237,1.475,6.174,0.002
MEVE_a30,1,843,0.001,0.021,0.001,0.001,0.016,-0.094,0.117,0.211,0.266,3.089,0.001
SUJU_a103,1,269,0.005,0.022,0.004,0.004,0.015,-0.056,0.132,0.188,0.686,4.286,0.001
SUNE_a30,1,275,0.004,0.022,0.003,0.004,0.018,-0.083,0.072,0.155,-0.082,1.81,0.001
SUSA_a103,1,281,0,0.018,0,0,0.015,-0.046,0.094,0.139,0.641,2.664,0.001
MOSA_a180,1,448,0,0.02,0,0,0.016,-0.083,0.067,0.15,0.123,1.617,0.001
MOJU_a180,1,441,0.003,0.023,0.002,0.002,0.017,-0.087,0.107,0.193,0.613,3.604,0.001
SUPL_a90,1,285,0.003,0.021,0.001,0.002,0.015,-0.064,0.09,0.154,0.6,2.586,0.001
MOSU_a103,1,888,0.002,0.024,0.001,0.001,0.016,-0.15,0.137,0.287,0.03,5.089,0.001
MOME_a103,1,854,0.002,0.023,0.001,0.001,0.017,-0.125,0.137,0.263,0.846,5.381,0.001
MEPL_a103,1,300,0.001,0.021,0,0,0.015,-0.066,0.095,0.161,0.56,3.265,0.001
MOPL_a135,1,930,0,0.023,0,0,0.017,-0.112,0.137,0.249,0.45,4.799,0.001
MENE_a45,1,288,0,0.02,0,0,0.016,-0.089,0.059,0.148,-0.327,1.715,0.001
MEJU_a120,1,238,0.002,0.022,0.001,0.001,0.017,-0.106,0.09,0.196,0.262,3.236,0.001
MESA_a120,1,282,0.002,0.023,0.002,0.001,0.017,-0.073,0.137,0.21,0.717,5.119,0.001
SUUR_a60,1,279,-0.001,0.024,0.001,0,0.016,-0.162,0.096,0.258,-1.213,9.255,0.001
VEJU_a90,1,283,0.002,0.027,0.002,0.001,0.019,-0.087,0.137,0.225,0.97,4.149,0.002
VESA_a90,1,277,0,0.021,0,0,0.017,-0.066,0.089,0.155,0.191,2.042,0.001
MOSU_a180,1,428,0.001,0.022,0,0.001,0.016,-0.078,0.137,0.215,0.249,4.287,0.001
VEUR_a45,1,277,0,0.024,0.001,0,0.016,-0.162,0.094,0.256,-0.745,8.529,0.001
MOME_a180,1,422,-0.001,0.023,0,-0.001,0.018,-0.112,0.16,0.272,0.361,6.787,0.001
MEMA_a0,1,226,0.001,0.019,0.001,0.001,0.015,-0.057,0.083,0.14,0.417,2.141,0.001
MOPL_a60,1,913,0.002,0.023,0.001,0.001,0.015,-0.15,0.137,0.287,-0.089,7.053,0.001
MENE_a60,1,277,0.002,0.026,0,0.001,0.015,-0.145,0.162,0.307,0.035,9.842,0.002
SUPL_a103,1,286,0.001,0.02,0,0.002,0.015,-0.085,0.079,0.164,-0.39,2.765,0.001
MEPL_a120,1,285,0,0.028,-0.001,0,0.016,-0.232,0.121,0.353,-1.307,16.312,0.002
VEMA_a30,1,336,0,0.021,0,0,0.017,-0.063,0.123,0.186,0.509,4.139,0.001
MESA_a135,1,290,0,0.022,0.002,0,0.018,-0.08,0.077,0.157,0.221,1.265,0.001
MEJU_a135,1,263,0,0.021,0,0,0.015,-0.08,0.066,0.146,-0.345,1.733,0.001
SUNE_a45,1,270,0,0.019,0,-0.001,0.015,-0.064,0.076,0.14,0.315,2.027,0.001
SUSA_a120,1,262,-0.001,0.023,-0.001,-0.001,0.016,-0.109,0.162,0.271,0.53,10.39,0.001
MANE_a60,1,204,0.004,0.025,0.004,0.004,0.018,-0.086,0.106,0.192,0.128,1.884,0.002
VESA_a103,1,308,0.002,0.027,0.001,0.002,0.017,-0.232,0.085,0.317,-1.924,17.942,0.002
MAPL_a120,1,241,0.001,0.02,0.002,0.001,0.016,-0.084,0.09,0.175,0.015,2.805,0.001
VEJU_a103,1,272,0.002,0.027,0.004,0.003,0.02,-0.245,0.068,0.313,-2.757,24.458,0.002
SUJU_a120,1,257,-0.001,0.023,-0.002,-0.002,0.017,-0.106,0.074,0.18,-0.074,2.247,0.001
MASA_a135,1,221,0.002,0.022,0.002,0.002,0.017,-0.087,0.079,0.166,-0.174,1.645,0.001
VENE_a30,1,291,0,0.022,0,0,0.015,-0.175,0.082,0.256,-1.472,13.947,0.001
VEPL_a90,1,275,0.001,0.02,0.002,0.001,0.016,-0.058,0.072,0.13,0.152,1.214,0.001
MAJU_a135,1,217,-0.001,0.022,0,0,0.015,-0.145,0.093,0.238,-1.008,8.928,0.002
MEUR_a90,1,280,0,0.023,0,0,0.017,-0.059,0.11,0.17,0.667,2.677,0.001
MOMA_a45,1,929,0,0.026,0,0.001,0.016,-0.471,0.128,0.599,-6.072,110.557,0.001
VEUR_a60,1,283,0.002,0.021,0.002,0.001,0.016,-0.075,0.106,0.181,0.677,4.098,0.001
MOVE_a0,1,439,0.003,0.029,0.001,0.002,0.017,-0.232,0.318,0.55,1.95,39.288,0.001
MAUR_a90,1,250,0.002,0.022,0.001,0.001,0.015,-0.094,0.117,0.211,0.51,4.073,0.001
