PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
VEPL_a0,13,15,28,0.46,0.54
VEPL_a103,24,29,53,0.45,0.55
VEPL_a120,26,30,56,0.46,0.54
VEPL_a135,54,47,101,0.53,0.47
VEPL_a150,34,35,69,0.49,0.51
VEPL_a180,12,19,31,0.39,0.61
VEPL_a30,29,28,57,0.51,0.49
VEPL_a45,29,24,53,0.55,0.45
VEPL_a60,23,31,54,0.43,0.57
VEPL_a90,28,28,56,0.5,0.5
VESA_a0,15,15,30,0.5,0.5
VESA_a103,33,22,55,0.6,0.4
VESA_a120,29,26,55,0.53,0.47
VESA_a135,54,39,93,0.58,0.42
VESA_a150,31,20,51,0.61,0.39
VESA_a180,7,20,27,0.26,0.74
VESA_a30,30,23,53,0.57,0.43
VESA_a45,29,29,58,0.5,0.5
VESA_a60,37,50,87,0.43,0.57
VESA_a90,20,33,53,0.38,0.62
VESU_a0,42,52,94,0.45,0.55
VESU_a30,89,130,219,0.41,0.59
VESU_a45,141,180,321,0.44,0.56
VEUR_a0,13,16,29,0.45,0.55
VEUR_a103,24,29,53,0.45,0.55
VEUR_a120,27,28,55,0.49,0.51
VEUR_a135,28,35,63,0.44,0.56
VEUR_a150,35,26,61,0.57,0.43
VEUR_a180,29,62,91,0.32,0.68
VEUR_a30,52,37,89,0.58,0.42
VEUR_a45,40,37,77,0.52,0.48
VEUR_a60,30,18,48,0.62,0.38
VEUR_a90,15,39,54,0.28,0.72
