PlanetsAspect,buy,sell
SUNE_a90,59,59
SUPL_a0,37,33
SUPL_a103,65,51
SUPL_a120,63,48
SUPL_a135,61,48
SUPL_a150,50,60
SUPL_a180,32,35
SUPL_a30,58,61
SUPL_a45,57,61
SUPL_a60,47,72
SUPL_a90,52,67
SUSA_a0,40,33
SUSA_a103,61,51
SUSA_a120,53,55
SUSA_a135,54,53
SUSA_a150,50,57
SUSA_a180,40,24
SUSA_a30,68,59
SUSA_a45,60,64
SUSA_a60,62,55
SUSA_a90,53,61
SUUR_a0,40,31
SUUR_a103,57,54
SUUR_a120,67,47
SUUR_a135,46,70
SUUR_a150,52,61
SUUR_a180,30,45
SUUR_a30,58,57
SUUR_a45,73,41
SUUR_a60,52,61
SUUR_a90,49,62
URNE_a45,754,769
URPL_a103,444,484
URPL_a90,251,259
VEJU_a0,63,45
VEJU_a103,46,50
VEJU_a120,55,42
VEJU_a135,59,75
VEJU_a150,43,50
VEJU_a180,33,25
VEJU_a30,75,47
VEJU_a45,56,46
VEJU_a60,52,48
VEJU_a90,45,54
VEMA_a0,51,57
VEMA_a103,44,56
VEMA_a120,64,55
VEMA_a135,33,17
VEMA_a150,22,24
VEMA_a180,15,12
VEMA_a30,67,77
VEMA_a45,95,74
VEMA_a60,84,69
VEMA_a90,55,60
VENE_a0,26,32
VENE_a103,58,44
VENE_a120,62,49
VENE_a135,62,86
VENE_a150,45,58
VENE_a180,24,33
VENE_a30,63,69
VENE_a45,53,44
VENE_a60,48,47
VENE_a90,82,56
VEPL_a0,16,40
VEPL_a103,40,60
VEPL_a120,47,51
VEPL_a135,89,93
VEPL_a150,58,77
VEPL_a180,29,29
VEPL_a30,54,49
VEPL_a45,59,42
VEPL_a60,54,48
VEPL_a90,52,52
VESA_a0,29,31
VESA_a103,80,101
VESA_a120,55,39
VESA_a135,84,47
VESA_a150,45,48
VESA_a180,22,31
VESA_a30,50,51
VESA_a45,58,48
VESA_a60,66,68
VESA_a90,89,82
VESU_a0,85,101
VESU_a30,182,185
VESU_a45,336,306
VEUR_a0,33,28
VEUR_a103,45,47
VEUR_a120,60,71
VEUR_a135,54,47
VEUR_a150,57,43
VEUR_a180,45,74
VEUR_a30,81,77
VEUR_a45,71,55
VEUR_a60,51,44
VEUR_a90,48,45
