PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
VS_JU_a135,1,236,0.001,0.019,0,0,0.013,-0.046,0.184,0.23,3.655,33.733,0.001
VS_JU_a144,1,159,0.003,0.016,0.001,0.002,0.012,-0.034,0.071,0.104,1.01,2.103,0.001
VS_PH_a135,1,154,0,0.018,0,0.001,0.011,-0.109,0.061,0.171,-2.359,14.781,0.001
VS_UR_a60,1,120,0.002,0.013,0.002,0.002,0.011,-0.045,0.039,0.084,-0.348,2,0.001
VS_SA_a60,1,117,0.003,0.013,0.004,0.003,0.011,-0.037,0.052,0.089,0.14,1.472,0.001
VS_JU_a150,1,254,0.001,0.017,0,0.001,0.014,-0.07,0.085,0.155,0.322,3.443,0.001
NN_NE_a60,1,229,0.001,0.012,0,0.001,0.011,-0.029,0.044,0.073,0.381,0.665,0.001
SN_NE_a120,1,229,0.001,0.012,0,0.001,0.011,-0.029,0.044,0.073,0.381,0.665,0.001
VS_CH_a120,1,127,0.002,0.012,0.001,0.002,0.011,-0.032,0.044,0.075,0.035,0.838,0.001
VS_PH_a144,1,218,-0.001,0.019,-0.001,-0.001,0.01,-0.081,0.08,0.161,-0.346,5.78,0.001
VS_PA_a90,1,231,0.002,0.015,0.001,0.002,0.011,-0.047,0.067,0.114,0.266,2.615,0.001
VS_PH_a150,1,189,0.001,0.018,0.001,0.001,0.012,-0.077,0.05,0.128,-0.552,2.376,0.001
JN_NN_a180,1,169,0.004,0.013,0.004,0.004,0.01,-0.029,0.044,0.073,0.277,0.828,0.001
JN_SN_a0,1,169,0.004,0.013,0.004,0.004,0.01,-0.029,0.044,0.073,0.277,0.828,0.001
VS_PL_a0,1,54,0,0.012,-0.001,-0.001,0.01,-0.036,0.04,0.076,0.49,2.304,0.002
VS_UR_a45,1,219,-0.001,0.016,0,-0.001,0.013,-0.075,0.047,0.123,-0.669,2.66,0.001
VS_SA_a45,1,125,0.003,0.012,0.002,0.003,0.01,-0.022,0.038,0.061,0.39,0.001,0.001
VS_CH_a135,1,178,0.002,0.013,0.003,0.002,0.011,-0.038,0.046,0.084,-0.094,0.986,0.001
VS_NE_a45,1,170,0.002,0.016,0,0,0.013,-0.029,0.113,0.142,2.22,11.818,0.001
VS_UR_a36,1,125,0.002,0.017,0,0.001,0.011,-0.063,0.085,0.148,0.742,6.793,0.001
VS_JU_a180,1,85,0.001,0.016,0.002,0.001,0.011,-0.047,0.081,0.129,1.099,7.271,0.002
NN_SA_a60,1,108,0.002,0.015,0.002,0.002,0.012,-0.051,0.064,0.115,0.263,2.86,0.001
SN_SA_a120,1,108,0.002,0.015,0.002,0.002,0.012,-0.051,0.064,0.115,0.263,2.86,0.001
VS_CH_a144,1,155,0.001,0.016,0,0.001,0.01,-0.104,0.071,0.175,-1.2,13.511,0.001
VS_SA_a36,1,175,0,0.014,0,0,0.011,-0.068,0.08,0.148,0.261,7.486,0.001
VS_UR_a30,1,160,-0.003,0.019,-0.003,-0.003,0.01,-0.124,0.052,0.176,-1.657,10.835,0.001
VS_CH_a150,1,213,0.001,0.014,0.001,0.001,0.009,-0.042,0.088,0.13,1.542,9.135,0.001
