PlanetsAspect,buy,sell,daysN,BuyDays%,SellDays%
MEMA_a120,9,4,13,0.69,0.31
MEMA_a135,3,8,11,0.27,0.73
MEMA_a144,2,9,11,0.18,0.82
MEMA_a150,5,6,11,0.45,0.55
MEMA_a180,3,3,6,0.5,0.5
MEMA_a30,15,20,35,0.43,0.57
MEMA_a36,23,12,35,0.66,0.34
MEMA_a45,24,18,42,0.57,0.43
MEMA_a60,15,20,35,0.43,0.57
MEMA_a72,26,16,42,0.62,0.38
MEMA_a90,26,15,41,0.63,0.37
MENE_a0,21,5,26,0.81,0.19
MENE_a103,14,24,38,0.37,0.63
MENE_a120,23,8,31,0.74,0.26
MENE_a135,24,25,49,0.49,0.51
MENE_a144,15,13,28,0.54,0.46
MENE_a150,16,18,34,0.47,0.53
MENE_a180,6,8,14,0.43,0.57
MENE_a30,14,17,31,0.45,0.55
MENE_a36,6,14,20,0.3,0.7
MENE_a45,8,11,19,0.42,0.58
MENE_a60,8,11,19,0.42,0.58
MENE_a72,16,12,28,0.57,0.43
MENE_a90,20,20,40,0.5,0.5
MEPL_a0,8,3,11,0.73,0.27
MEPL_a103,10,7,17,0.59,0.41
MEPL_a120,6,11,17,0.35,0.65
MEPL_a135,15,13,28,0.54,0.46
MEPL_a144,12,10,22,0.55,0.45
MEPL_a150,16,17,33,0.48,0.52
MEPL_a180,4,7,11,0.36,0.64
MEPL_a30,14,13,27,0.52,0.48
MEPL_a36,33,23,56,0.59,0.41
MEPL_a45,22,14,36,0.61,0.39
MEPL_a60,19,20,39,0.49,0.51
MEPL_a72,21,21,42,0.5,0.5
MEPL_a90,5,12,17,0.29,0.71
MESA_a0,15,11,26,0.58,0.42
MESA_a103,14,17,31,0.45,0.55
MESA_a120,6,13,19,0.32,0.68
MESA_a135,11,19,30,0.37,0.63
MESA_a144,12,7,19,0.63,0.37
MESA_a150,13,9,22,0.59,0.41
MESA_a180,6,3,9,0.67,0.33
MESA_a30,20,24,44,0.45,0.55
MESA_a36,21,19,40,0.52,0.48
MESA_a45,18,16,34,0.53,0.47
MESA_a60,21,18,39,0.54,0.46
MESA_a72,24,11,35,0.69,0.31
MESA_a90,20,21,41,0.49,0.51
MESU_a0,33,50,83,0.4,0.6
MEUR_a0,2,6,8,0.25,0.75
MEUR_a103,20,13,33,0.61,0.39
MEUR_a120,24,20,44,0.55,0.45
MEUR_a135,15,17,32,0.47,0.53
MEUR_a144,20,10,30,0.67,0.33
MEUR_a150,17,19,36,0.47,0.53
MEUR_a180,14,11,25,0.56,0.44
MEUR_a30,16,12,28,0.57,0.43
MEUR_a36,12,13,25,0.48,0.52
MEUR_a45,18,14,32,0.56,0.44
MEUR_a60,17,24,41,0.41,0.59
MEUR_a72,12,6,18,0.67,0.33
MEUR_a90,15,15,30,0.5,0.5
MEVE_a0,19,15,34,0.56,0.44
MEVE_a30,54,57,111,0.49,0.51
MEVE_a36,43,42,85,0.51,0.49
MEVE_a45,26,46,72,0.36,0.64
MEVE_a60,27,23,50,0.54,0.46
MEVE_a72,12,12,24,0.5,0.5
MOJU_a0,24,27,51,0.47,0.53
MOJU_a103,47,51,98,0.48,0.52
MOJU_a120,46,49,95,0.48,0.52
MOJU_a135,49,47,96,0.51,0.49
MOJU_a144,53,45,98,0.54,0.46
MOJU_a150,53,42,95,0.56,0.44
MOJU_a180,29,19,48,0.6,0.4
MOJU_a30,49,50,99,0.49,0.51
MOJU_a36,42,55,97,0.43,0.57
MOJU_a45,48,51,99,0.48,0.52
MOJU_a60,53,46,99,0.54,0.46
MOJU_a72,49,52,101,0.49,0.51
MOJU_a90,39,57,96,0.41,0.59
MOMA_a0,24,25,49,0.49,0.51
MOMA_a103,43,51,94,0.46,0.54
MOMA_a120,45,51,96,0.47,0.53
MOMA_a135,49,47,96,0.51,0.49
MOMA_a144,60,35,95,0.63,0.37
MOMA_a150,58,38,96,0.6,0.4
MOMA_a180,25,23,48,0.52,0.48
MOMA_a30,42,54,96,0.44,0.56
MOMA_a36,37,58,95,0.39,0.61
MOMA_a45,51,45,96,0.53,0.47
MOMA_a60,45,49,94,0.48,0.52
MOMA_a72,42,54,96,0.44,0.56
MOMA_a90,62,33,95,0.65,0.35
MOME_a0,19,27,46,0.41,0.59
MOME_a103,47,47,94,0.5,0.5
MOME_a120,51,44,95,0.54,0.46
MOME_a135,51,43,94,0.54,0.46
MOME_a144,49,44,93,0.53,0.47
MOME_a150,52,42,94,0.55,0.45
MOME_a180,18,28,46,0.39,0.61
MOME_a30,51,41,92,0.55,0.45
MOME_a36,40,50,90,0.44,0.56
MOME_a45,43,51,94,0.46,0.54
MOME_a60,45,50,95,0.47,0.53
MOME_a72,46,45,91,0.51,0.49
MOME_a90,49,42,91,0.54,0.46
MONE_a0,21,29,50,0.42,0.58
