PlanetsAspect,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
MA_PH_a45,1,42,0.031,0.069,0.026,0.025,0.058,-0.093,0.213,0.306,0.7,0.372,0.011
VE_VS_a45,1,40,0.012,0.063,0.007,0.009,0.039,-0.145,0.207,0.352,0.617,1.799,0.01
JN_SA_a36,1,41,0.034,0.076,0.023,0.031,0.064,-0.138,0.213,0.351,0.379,-0.047,0.012
SU_NN_a144,1,48,0.004,0.049,0,0.001,0.023,-0.104,0.207,0.311,1.632,5.708,0.007
SU_SN_a36,1,48,0.004,0.049,0,0.001,0.023,-0.104,0.207,0.311,1.632,5.708,0.007
JU_PL_a60,1,127,0.003,0.073,0,0.002,0.068,-0.183,0.207,0.391,0.222,0.419,0.007
SU_CE_a144,1,32,0.024,0.065,0.005,0.015,0.036,-0.06,0.207,0.267,1.255,0.987,0.011
VS_CH_a120,1,25,0.008,0.089,-0.012,0.005,0.091,-0.148,0.207,0.355,0.491,-0.58,0.018
VS_UR_a150,1,24,0.028,0.087,0.034,0.027,0.093,-0.148,0.207,0.355,0.081,-0.736,0.018
SU_UR_a103,1,47,0.015,0.054,0.007,0.011,0.036,-0.122,0.207,0.329,0.959,2.802,0.008
SU_NE_a60,1,49,0.014,0.063,0.01,0.01,0.053,-0.105,0.207,0.312,0.776,0.608,0.009
VE_SU_a0,1,72,0.003,0.063,-0.003,-0.001,0.041,-0.17,0.207,0.377,0.568,1.575,0.007
SU_CH_a72,1,50,0.012,0.053,0.006,0.006,0.039,-0.113,0.207,0.32,1.277,3.099,0.007
VE_NN_a144,1,44,0.016,0.048,0.012,0.01,0.022,-0.07,0.207,0.277,1.947,5.385,0.007
VE_SN_a36,1,45,0.018,0.048,0.012,0.012,0.022,-0.07,0.207,0.277,1.852,4.994,0.007
MA_SA_a45,1,44,0.026,0.067,0.013,0.023,0.054,-0.116,0.207,0.324,0.498,0.162,0.01
SU_PA_a103,1,40,0.007,0.054,-0.002,0,0.026,-0.08,0.207,0.287,1.721,3.789,0.009
VE_CE_a144,1,29,0.003,0.07,-0.002,-0.002,0.042,-0.119,0.207,0.326,1.005,1.147,0.013
VE_UR_a103,1,50,0.002,0.05,-0.003,-0.003,0.045,-0.083,0.207,0.291,1.526,4.069,0.007
VS_SA_a36,1,32,0.018,0.07,0.01,0.014,0.054,-0.138,0.207,0.345,0.573,0.63,0.012
MA_NN_a90,1,35,0.022,0.058,0.018,0.017,0.04,-0.08,0.207,0.288,1.045,1.84,0.01
MA_SN_a90,1,35,0.022,0.058,0.018,0.017,0.04,-0.08,0.207,0.288,1.045,1.84,0.01
VE_NE_a60,1,59,0.006,0.064,-0.013,0.002,0.052,-0.148,0.207,0.355,0.743,0.751,0.008
MA_CE_a90,1,46,0.01,0.047,0.005,0.008,0.04,-0.08,0.159,0.239,0.625,1.28,0.007
MA_JU_a0,1,22,0.028,0.066,0.006,0.025,0.066,-0.08,0.159,0.239,0.377,-1.007,0.014
VE_CH_a72,1,93,-0.002,0.044,-0.004,-0.003,0.032,-0.105,0.138,0.243,0.32,0.958,0.005
VE_PA_a103,1,32,0.004,0.04,0.004,0.003,0.025,-0.084,0.125,0.209,0.411,1.475,0.007
VS_PA_a150,1,82,0.011,0.06,0.009,0.012,0.043,-0.17,0.202,0.372,0.024,1.313,0.007
JN_CH_a45,1,33,-0.003,0.067,-0.007,-0.003,0.068,-0.138,0.159,0.297,0.193,-0.098,0.012
SU_NN_a150,1,48,0.011,0.04,0.004,0.009,0.025,-0.08,0.159,0.239,0.982,2.659,0.006
SU_SN_a30,1,48,0.011,0.04,0.004,0.009,0.025,-0.08,0.159,0.239,0.982,2.659,0.006
SU_MA_a60,1,64,-0.002,0.063,-0.009,-0.005,0.049,-0.145,0.159,0.304,0.404,0.537,0.008
SU_CE_a150,1,31,0.002,0.05,-0.004,0,0.035,-0.122,0.159,0.281,0.54,2.098,0.009
MA_PL_a60,1,40,0.005,0.061,0.004,0.005,0.041,-0.148,0.159,0.307,-0.035,0.872,0.01
VE_CE_a150,1,29,0.004,0.048,-0.009,0.001,0.033,-0.082,0.159,0.242,1.052,1.745,0.009
VE_NN_a150,1,40,0.016,0.052,0.004,0.009,0.022,-0.075,0.16,0.235,1.202,1.261,0.008
VE_SN_a30,1,40,0.016,0.052,0.004,0.009,0.022,-0.075,0.16,0.235,1.202,1.261,0.008
SU_JU_a60,1,48,0.004,0.066,0.007,0.008,0.04,-0.239,0.159,0.398,-1.287,4.338,0.009
VE_JU_a60,1,41,0.026,0.079,0.012,0.012,0.034,-0.077,0.376,0.453,2.4,7.231,0.012
VE_MA_a60,1,64,0.01,0.066,-0.004,0.005,0.042,-0.148,0.213,0.361,0.687,1.083,0.008
SU_PL_a0,1,30,0.012,0.059,0.008,0.009,0.043,-0.138,0.159,0.297,0.287,0.851,0.011
CE_PH_a135,1,50,-0.002,0.066,-0.005,-0.001,0.062,-0.17,0.202,0.372,0.165,1.001,0.009
VE_PL_a0,1,47,0.004,0.049,-0.004,0.003,0.051,-0.088,0.136,0.224,0.329,-0.219,0.007
SN_PH_a45,1,178,-0.006,0.055,-0.009,-0.006,0.04,-0.183,0.202,0.385,0.022,1.659,0.004
NN_PH_a135,1,178,-0.006,0.055,-0.009,-0.006,0.04,-0.183,0.202,0.385,0.022,1.659,0.004
